method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
set_aware,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
set_aware,1,5799,0.4623,0.226,11834.01171875,0.494,0.547,0.389,0.226,0.368,0.425,0.477,0.579,0.618,0.5,400,400,400,90,9,400,400,400,400,400,0.6944528645043953,0.7893117539591412,0.7025,0.815,0.3675,0.3111111111111111,0.4444444444444444,0.58,0.7575,0.8775,0.73,0.8175,0.7771715140407756,0.6179472472169754
set_aware,2,9668,0.4769,0.256,11996.3720703125,0.51,0.519,0.41,0.256,0.408,0.435,0.482,0.555,0.647,0.547,400,400,400,269,400,400,400,400,400,400,0.7056086844145774,0.9662801204309441,0.7225,0.85,0.545,0.30111524163568776,0.6575,0.5925,0.7825,0.865,0.8625,0.745,0.9247158593094974,0.8937824848056241
set_aware,3,13653,0.4799,0.267,11999.5126953125,0.501,0.535,0.407,0.267,0.412,0.438,0.484,0.556,0.656,0.543,400,400,400,385,400,400,400,400,400,400,0.6514429109159348,0.9902873974223358,0.7075,0.8075,0.48,0.35584415584415585,0.5825,0.5675,0.715,0.7925,0.8325,0.6625,0.9692039781861204,0.9598044334271622
set_aware,4,17653,0.4836,0.27,11999.869140625,0.512,0.543,0.404,0.27,0.413,0.45,0.485,0.554,0.662,0.543,400,400,400,400,400,400,400,400,400,400,0.624,0.9960729309618473,0.68,0.77,0.4825,0.37,0.51,0.5025,0.635,0.7725,0.8125,0.705,0.9863082031309605,0.9824365367889404
set_aware,5,21653,0.4876,0.272,11999.8876953125,0.509,0.566,0.406,0.272,0.412,0.456,0.481,0.561,0.671,0.542,400,400,400,400,400,400,400,400,400,400,0.58275,0.9974736821502447,0.63,0.7,0.43,0.41,0.47,0.51,0.6075,0.65,0.7625,0.6575,0.9875956552326679,0.985101039916277
clean_ft,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,1,100,0.3553,0.184,,0.43,0.392,0.284,0.184,0.295,0.248,0.397,0.492,0.45,0.381,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,2,100,0.3311,0.136,,0.382,0.456,0.216,0.136,0.357,0.253,0.359,0.48,0.394,0.278,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,3,100,0.3238,0.154,,0.338,0.391,0.213,0.154,0.379,0.176,0.381,0.432,0.422,0.352,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,4,100,0.3236,0.167,,0.39,0.407,0.231,0.167,0.32,0.184,0.429,0.423,0.35,0.335,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,5,100,0.3394,0.176,,0.381,0.452,0.243,0.176,0.367,0.189,0.395,0.441,0.388,0.362,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,1,6600,0.4659,0.24,10159.6452910668,0.489,0.55,0.397,0.24,0.347,0.426,0.472,0.602,0.634,0.502,147,889,162,29,0,285,323,1079,472,614,0.739,0.7899498718529939,0.8503401360544217,0.7682789651293588,0.32098765432098764,0.3448275862068966,,0.5754385964912281,0.7616099071207431,0.7896200185356812,0.7161016949152542,0.7915309446254072,0.7458541744434933,0.6415546840563416
clean_mix,2,10600,0.4824,0.225,10113.029558923401,0.494,0.581,0.393,0.225,0.392,0.435,0.49,0.64,0.634,0.54,384,792,282,43,3,298,447,685,506,560,0.72825,0.9757390298992396,0.8203125,0.7563131313131313,0.42907801418439717,0.46511627906976744,0.6666666666666666,0.6409395973154363,0.7807606263982103,0.7372262773722628,0.8122529644268774,0.7142857142857143,0.7456193070793583,0.7673112502362578
clean_mix,3,14600,0.4866,0.217,10180.6793384324,0.478,0.611,0.394,0.217,0.385,0.437,0.516,0.639,0.657,0.532,501,765,381,111,26,204,453,191,716,652,0.6785,0.985579276189208,0.7385229540918163,0.6901960784313725,0.5223097112860893,0.3153153153153153,0.6538461538461539,0.6372549019607843,0.7527593818984547,0.6178010471204188,0.7486033519553073,0.6748466257668712,0.7392031977681154,0.782533809543401
clean_mix,4,18600,0.4949,0.22,10214.956661714292,0.496,0.638,0.42,0.22,0.337,0.429,0.544,0.639,0.7,0.526,516,688,484,179,48,143,468,133,747,594,0.59025,0.9893560191243886,0.687984496124031,0.5973837209302325,0.43388429752066116,0.24581005586592178,0.75,0.5384615384615384,0.6388888888888888,0.5112781954887218,0.6934404283801874,0.5774410774410774,0.735196519674629,0.7872598278194667
clean_mix,5,22600,0.496,0.195,10215.324888873472,0.503,0.653,0.427,0.195,0.304,0.433,0.594,0.631,0.695,0.525,497,574,731,146,39,204,455,156,641,557,0.521,0.9904624250233174,0.5855130784708249,0.4738675958188153,0.44049247606019154,0.3493150684931507,0.6666666666666666,0.46568627450980393,0.643956043956044,0.4807692307692308,0.5975039001560063,0.4955116696588869,0.7354392281102996,0.7852908432051541
batch_mean,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
batch_mean,1,6500,0.4657,0.22,10159.6452910668,0.5,0.549,0.391,0.22,0.368,0.45,0.446,0.61,0.627,0.496,147,889,162,29,0,285,323,1079,472,614,0.739,0.7899498718529939,0.8503401360544217,0.7682789651293588,0.32098765432098764,0.3448275862068966,,0.5754385964912281,0.7616099071207431,0.7896200185356812,0.7161016949152542,0.7915309446254072,0.7458541744434933,0.6415546840563416
