method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
frac_50,0,2500,0.3873,0.189,,0.46,0.474,0.302,0.189,0.281,0.361,0.406,0.526,0.498,0.376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_50,1,4000,0.4497,0.279,,0.52,0.535,0.304,0.295,0.279,0.4,0.549,0.596,0.54,0.479,768,350,4,0,0,1,2,280,332,263,0.656,0.864917922258377,0.5299479166666666,0.8057142857142857,0.0,,,1.0,0.5,0.8785714285714286,0.536144578313253,0.7490494296577946,,
frac_50,2,4000,0.4602,0.296,,0.566,0.554,0.338,0.325,0.296,0.392,0.51,0.59,0.571,0.46,249,562,4,0,0,0,0,693,182,310,0.7565,0.9631619802415371,0.5823293172690763,0.797153024911032,0.75,,,,,0.7748917748917749,0.8076923076923077,0.7516129032258064,,
frac_50,3,4000,0.4562,0.305,,0.494,0.565,0.319,0.315,0.305,0.4,0.471,0.587,0.65,0.456,100,547,27,1,3,0,87,649,426,160,0.719,0.985609341174364,0.72,0.7129798903107861,0.5555555555555556,0.0,0.6666666666666666,,0.8275862068965517,0.6702619414483821,0.7934272300469484,0.7125,,
frac_50,4,4000,0.4608,0.313,,0.506,0.538,0.337,0.33,0.313,0.371,0.482,0.581,0.691,0.459,247,238,43,5,65,35,238,392,585,152,0.7295,0.9970434518158435,0.7773279352226721,0.7352941176470589,0.6046511627906976,0.8,0.6307692307692307,0.4857142857142857,0.8277310924369747,0.6045918367346939,0.788034188034188,0.7171052631578947,,
frac_50,5,4000,0.4622,0.315,,0.534,0.514,0.333,0.315,0.326,0.4,0.483,0.591,0.669,0.457,202,116,140,116,137,174,267,323,422,103,0.67,0.9987772528529167,0.7029702970297029,0.7068965517241379,0.5857142857142857,0.6379310344827587,0.7664233576642335,0.6206896551724138,0.797752808988764,0.5479876160990712,0.6824644549763034,0.6699029126213593,,
frac_75,0,2500,0.3873,0.189,,0.46,0.474,0.302,0.189,0.281,0.361,0.406,0.526,0.498,0.376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_75,1,4000,0.4191,0.172,,0.494,0.501,0.292,0.172,0.259,0.396,0.523,0.575,0.506,0.473,919,629,19,0,0,38,64,470,445,416,0.6673333333333333,0.8217056028644244,0.5408052230685527,0.7885532591414944,0.2631578947368421,,,0.6842105263157895,0.765625,0.825531914893617,0.5280898876404494,0.7355769230769231,,
frac_75,2,4000,0.418,0.215,,0.471,0.5,0.253,0.215,0.28,0.396,0.463,0.595,0.548,0.459,482,829,5,0,0,40,129,630,468,417,0.6603333333333333,0.9777404218117396,0.6473029045643154,0.6646562123039808,0.0,,,0.6,0.8372093023255814,0.6952380952380952,0.5897435897435898,0.6522781774580336,,
frac_75,3,4000,0.4189,0.242,,0.525,0.483,0.257,0.242,0.27,0.39,0.453,0.604,0.602,0.363,552,387,0,0,0,176,326,687,696,176,0.5943333333333334,0.9885925714174907,0.592391304347826,0.5607235142118863,,,,0.6079545454545454,0.745398773006135,0.5662299854439592,0.5847701149425287,0.5284090909090909,,
frac_75,4,4000,0.4129,0.212,,0.499,0.487,0.223,0.212,0.273,0.38,0.508,0.589,0.634,0.324,505,213,8,26,0,427,438,684,632,67,0.5263333333333333,0.9945377795894941,0.4079207920792079,0.4225352112676056,0.375,0.6923076923076923,,0.5597189695550351,0.6712328767123288,0.4502923976608187,0.620253164556962,0.43283582089552236,,
