seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,set_aware,0,0.2166370526543942,,0.2847600411767971,0.3864260004409285,1000,1000,1089,256,gpt2,32,1,100,auto
1088,set_aware,1,0.08524572989889995,,0.1298964639427721,0.31844182076311695,1000,1000,1089,256,gpt2,32,1,100,auto
1088,set_aware,2,0.025161588608538562,,0.04868370371991655,0.25945107658489064,1000,1000,1089,256,gpt2,32,1,100,auto
1088,set_aware,3,0.01797180464637814,,0.03654652711378266,0.2465706666555952,1000,1000,1089,256,gpt2,32,1,100,auto
1088,set_aware,4,0.015792228846873667,,0.03269321928670438,0.24447185550312656,1000,1000,1089,256,gpt2,32,1,100,auto
2195,set_aware,0,0.12274587952392269,,0.17732048848724602,0.341848873664211,1000,1000,2196,256,gpt2,32,1,100,auto
2195,set_aware,1,0.04943804741723145,,0.08339771904109075,0.2890106967354302,1000,1000,2196,256,gpt2,32,1,100,auto
2195,set_aware,2,0.021675693884465774,,0.042161848554615244,0.2548569057521014,1000,1000,2196,256,gpt2,32,1,100,auto
2195,set_aware,3,0.015114690416631873,,0.032430045088035916,0.2426796862419501,1000,1000,2196,256,gpt2,32,1,100,auto
2195,set_aware,4,0.013626870028435982,,0.029695597526880762,0.23936330248117005,1000,1000,2196,256,gpt2,32,1,100,auto
4960,set_aware,0,0.1568221461837861,,0.21822860160188676,0.3587816559074089,1000,1000,4961,256,gpt2,32,1,100,auto
4960,set_aware,1,0.06874093541659165,,0.10945275518031419,0.3060267902839996,1000,1000,4961,256,gpt2,32,1,100,auto
4960,set_aware,2,0.02680387177694163,,0.05046980250280554,0.26304215939999315,1000,1000,4961,256,gpt2,32,1,100,auto
4960,set_aware,3,0.01840427658108816,,0.0381190980055304,0.2477859087651322,1000,1000,4961,256,gpt2,32,1,100,auto
4960,set_aware,4,0.016016120420871024,,0.03296910019965604,0.24440474826776148,1000,1000,4961,256,gpt2,32,1,100,auto
