seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,kl_reg,0,0.2364827784192906,,0.30517037097169014,0.39584531699203646,1000,1000,1089,256,gpt2,32,1,100,auto
1088,kl_reg,1,0.08462266419017465,,0.13051978639106943,0.3161969208027301,1000,1000,1089,256,gpt2,32,1,100,auto
1088,kl_reg,2,0.04441379108584527,,0.07710515555614314,0.2844762952022006,1000,1000,1089,256,gpt2,32,1,100,auto
1088,kl_reg,3,0.028459019782611956,,0.05335231136386892,0.2648058144551067,1000,1000,1089,256,gpt2,32,1,100,auto
1088,kl_reg,4,0.021622148389801376,,0.043481256160242815,0.25412025625727563,1000,1000,1089,256,gpt2,32,1,100,auto
2195,kl_reg,0,0.15649490476077332,,0.21158228730424827,0.3595749378403956,1000,1000,2196,256,gpt2,32,1,100,auto
2195,kl_reg,1,0.06505540592245279,,0.10250824145993379,0.3042767464366816,1000,1000,2196,256,gpt2,32,1,100,auto
2195,kl_reg,2,0.032325167975261915,,0.05785330894386652,0.27066372233026254,1000,1000,2196,256,gpt2,32,1,100,auto
2195,kl_reg,3,0.0209187528917731,,0.04051996288601259,0.2537569229739433,1000,1000,2196,256,gpt2,32,1,100,auto
2195,kl_reg,4,0.01759896868540764,,0.034907628890320425,0.250330409615807,1000,1000,2196,256,gpt2,32,1,100,auto
4960,kl_reg,0,0.20569513906131226,,0.2765996848312358,0.3830323799750251,1000,1000,4961,256,gpt2,32,1,100,auto
4960,kl_reg,1,0.09768958144905023,,0.14984450695294527,0.32566123985961754,1000,1000,4961,256,gpt2,32,1,100,auto
4960,kl_reg,2,0.03035237159380513,,0.05807460752898608,0.2664257728433037,1000,1000,4961,256,gpt2,32,1,100,auto
4960,kl_reg,3,0.022422203875090273,,0.044039964534230785,0.2564938820517969,1000,1000,4961,256,gpt2,32,1,100,auto
4960,kl_reg,4,0.01756212933984127,,0.03542981984105463,0.24719079045895564,1000,1000,4961,256,gpt2,32,1,100,auto
