seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,unsup_set_aware,0,0.23690707301461145,,0.30926705113273245,0.39509028459340306,1000,1000,1089,256,gpt2,32,1,100,auto
1088,no_filter,0,0.21232491455522545,,0.2829659953573259,0.38416198650991124,1000,1000,1089,256,gpt2,32,1,100,auto
1088,pointwise,0,0.23612680547869602,,0.30473592182384746,0.3952415097929009,1000,1000,1089,256,gpt2,32,1,100,auto
1088,unsup_set_aware,1,0.07603156367738591,,0.12246139816996456,0.30990557784428435,1000,1000,1089,256,gpt2,32,1,100,auto
1088,no_filter,1,0.06860883667841101,,0.10957249578421854,0.3044994157397651,1000,1000,1089,256,gpt2,32,1,100,auto
1088,pointwise,1,0.06254238563578773,,0.10325155956028567,0.3012504542184476,1000,1000,1089,256,gpt2,32,1,100,auto
1088,unsup_set_aware,2,0.029401819805231818,,0.05637310956315874,0.26538499100819074,1000,1000,1089,256,gpt2,32,1,100,auto
1088,no_filter,2,0.03510804646684026,,0.06261060201184582,0.2751722922330253,1000,1000,1089,256,gpt2,32,1,100,auto
1088,pointwise,2,0.036824007526849376,,0.06498721467371446,0.27675190386740817,1000,1000,1089,256,gpt2,32,1,100,auto
1088,unsup_set_aware,3,0.019454131151880417,,0.03937107655568313,0.24979909524379101,1000,1000,1089,256,gpt2,32,1,100,auto
1088,no_filter,3,0.018526864044948615,,0.03744257270572267,0.24853183410454646,1000,1000,1089,256,gpt2,32,1,100,auto
1088,pointwise,3,0.021278913178882766,,0.042157740324818116,0.25454996330632945,1000,1000,1089,256,gpt2,32,1,100,auto
1088,unsup_set_aware,4,0.015547621476704465,,0.032435939530968155,0.24390261613993416,1000,1000,1089,256,gpt2,32,1,100,auto
1088,no_filter,4,0.012889288356697788,,0.027926875209527212,0.23754972279971873,1000,1000,1089,256,gpt2,32,1,100,auto
1088,pointwise,4,0.014641687028494207,,0.03103475233655769,0.24139106597212534,1000,1000,1089,256,gpt2,32,1,100,auto
2195,unsup_set_aware,0,0.160043395153467,,0.21760602073104918,0.36214615595071975,1000,1000,2196,256,gpt2,32,1,100,auto
2195,no_filter,0,0.15814535096530447,,0.21850526706780737,0.35997484415086406,1000,1000,2196,256,gpt2,32,1,100,auto
2195,pointwise,0,0.16823428299856186,,0.2290043869203252,0.3647454904843431,1000,1000,2196,256,gpt2,32,1,100,auto
2195,unsup_set_aware,1,0.07326060459910255,,0.11538253102067136,0.30877572854953816,1000,1000,2196,256,gpt2,32,1,100,auto
2195,no_filter,1,0.05383808772876091,,0.08963989351247678,0.29463209628934045,1000,1000,2196,256,gpt2,32,1,100,auto
2195,pointwise,1,0.029991103200390338,,0.05493498806227787,0.26894533099826434,1000,1000,2196,256,gpt2,32,1,100,auto
2195,unsup_set_aware,2,0.022702163859898608,,0.043851979214628425,0.25740473645540934,1000,1000,2196,256,gpt2,32,1,100,auto
2195,no_filter,2,0.018478821505344332,,0.03765658642611577,0.2481653283328632,1000,1000,2196,256,gpt2,32,1,100,auto
2195,pointwise,2,0.012925693847871358,,0.02758288023189629,0.23806073623103,1000,1000,2196,256,gpt2,32,1,100,auto
2195,unsup_set_aware,3,0.01740289536222237,,0.034720670571992296,0.24719951213921637,1000,1000,2196,256,gpt2,32,1,100,auto
2195,no_filter,3,0.012445896849399089,,0.02669892861784061,0.23615991550966875,1000,1000,2196,256,gpt2,32,1,100,auto
2195,pointwise,3,0.007795851320234508,,0.01837188868554949,0.22134596501763149,1000,1000,2196,256,gpt2,32,1,100,auto
2195,unsup_set_aware,4,0.014298207798388973,,0.02988174279367002,0.24161219701979306,1000,1000,2196,256,gpt2,32,1,100,auto
2195,no_filter,4,0.010599809135829417,,0.023668283798956802,0.23085782343561465,1000,1000,2196,256,gpt2,32,1,100,auto
2195,pointwise,4,0.006912684733522932,,0.016871481803514533,0.21879946070314962,1000,1000,2196,256,gpt2,32,1,100,auto
4960,unsup_set_aware,0,0.19854884484987928,,0.26691990410530575,0.37789433735747524,1000,1000,4961,256,gpt2,32,1,100,auto
4960,no_filter,0,0.20387130458463482,,0.27224603294152616,0.3815071299896181,1000,1000,4961,256,gpt2,32,1,100,auto
4960,pointwise,0,0.21464922500028016,,0.28328071174693353,0.38644242315487914,1000,1000,4961,256,gpt2,32,1,100,auto
4960,unsup_set_aware,1,0.06074235406020022,,0.09860861612308794,0.29905288921500506,1000,1000,4961,256,gpt2,32,1,100,auto
4960,no_filter,1,0.06876965510991137,,0.10935823357829874,0.3057880866443828,1000,1000,4961,256,gpt2,32,1,100,auto
4960,pointwise,1,0.04940471619049127,,0.08373258772944997,0.2882151202755964,1000,1000,4961,256,gpt2,32,1,100,auto
4960,unsup_set_aware,2,0.033374301569209286,,0.06060403683412901,0.2717111755717184,1000,1000,4961,256,gpt2,32,1,100,auto
4960,no_filter,2,0.027984431115808176,,0.05293107228109602,0.2647232101248643,1000,1000,4961,256,gpt2,32,1,100,auto
4960,pointwise,2,0.020470876012845196,,0.040883973511500374,0.2528399333092463,1000,1000,4961,256,gpt2,32,1,100,auto
4960,unsup_set_aware,3,0.018791133540860365,,0.03868132558097489,0.24954825996615465,1000,1000,4961,256,gpt2,32,1,100,auto
4960,no_filter,3,0.013588161051522413,,0.029826557751979236,0.2381144345882174,1000,1000,4961,256,gpt2,32,1,100,auto
4960,pointwise,3,0.010475646434354191,,0.023719905924794827,0.2306546367750158,1000,1000,4961,256,gpt2,32,1,100,auto
