domain,method,method_label,generation,n_seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
gpt2,set_aware,SAGE-Filter,0,3,0.6573574288493598,0.03236977183499833,0.6574 ± 0.0324,47.959652799627946,1.9466516259046462,47.9597 ± 1.9467,0.05422884701959262,0.0074404961648067485,0.0542 ± 0.0074
gpt2,set_aware,SAGE-Filter,1,3,0.5569715904103597,0.004850637928108799,0.5570 ± 0.0049,77.39234816228856,4.398270413029429,77.3923 ± 4.3983,0.1948678928736588,0.024429458329342655,0.1949 ± 0.0244
gpt2,set_aware,SAGE-Filter,2,3,0.5278571349970981,0.02174370548308511,0.5279 ± 0.0217,119.13571642942055,8.151841755596466,119.1357 ± 8.1518,0.3321379959319501,0.01621753265713267,0.3321 ± 0.0162
gpt2,set_aware,SAGE-Filter,3,3,0.5202725169434892,0.01533453467762415,0.5203 ± 0.0153,160.65103567961657,11.689429541930274,160.6510 ± 11.6894,0.4013884484774652,0.008131760890083595,0.4014 ± 0.0081
gpt2,set_aware,SAGE-Filter,4,3,0.5008911507591437,0.012110502911372967,0.5009 ± 0.0121,195.12382837154595,16.391449934828774,195.1238 ± 16.3914,0.44890084031066424,0.009203192419733974,0.4489 ± 0.0092
gpt2,clean_mix,Direct Mixing,0,3,0.647396997692537,0.0379388436907471,0.6474 ± 0.0379,35.75842647746331,1.2483399107796624,35.7584 ± 1.2483,0.18166101721963346,0.02711768960156377,0.1817 ± 0.0271
gpt2,clean_mix,Direct Mixing,1,3,0.5332424369730592,0.026630215412023647,0.5332 ± 0.0266,35.833756827039686,1.9494922891228403,35.8338 ± 1.9495,0.30763578439309375,0.016355777288559633,0.3076 ± 0.0164
gpt2,clean_mix,Direct Mixing,2,3,0.4671588370921838,0.026011482660975086,0.4672 ± 0.0260,33.99488992142262,2.6369968646045616,33.9949 ± 2.6370,0.3993801658028231,0.02317297377409112,0.3994 ± 0.0232
gpt2,clean_mix,Direct Mixing,3,3,0.4283013525400872,0.01171070307951406,0.4283 ± 0.0117,31.184937640406233,2.9699494814851484,31.1849 ± 2.9699,0.4506143833912683,0.015873446375116236,0.4506 ± 0.0159
gpt2,clean_mix,Direct Mixing,4,3,0.4123346887427028,0.02864591461311119,0.4123 ± 0.0286,28.901810070058996,2.4562694568255847,28.9018 ± 2.4563,0.4756105196308509,0.00815480467652365,0.4756 ± 0.0082
gpt2,batch_mean,Batch-Mean,0,3,0.593622885359836,0.0324485415743101,0.5936 ± 0.0324,42.28772257688481,1.5585863406969607,42.2877 ± 1.5586,0.8738582947367773,0.0386572558785245,0.8739 ± 0.0387
gpt2,batch_mean,Batch-Mean,1,3,0.43880961064492174,0.04354127567465343,0.4388 ± 0.0435,57.68148558809204,0.35460354957450735,57.6815 ± 0.3546,0.9567969959282062,0.0010356191153821131,0.9568 ± 0.0010
gpt2,batch_mean,Batch-Mean,2,3,0.374093151798766,0.008908698415696283,0.3741 ± 0.0089,83.10036850079281,1.5243780166282388,83.1004 ± 1.5244,0.9548711289819359,0.00017898833791371403,0.9549 ± 0.0002
gpt2,batch_mean,Batch-Mean,3,3,0.3635642269410555,0.014527015065689396,0.3636 ± 0.0145,125.13817735714012,10.124400186388337,125.1382 ± 10.1244,0.952068735909954,0.0015175756444107192,0.9521 ± 0.0015
gpt2,batch_mean,Batch-Mean,4,3,0.354276920616937,0.013028904312858983,0.3543 ± 0.0130,194.06761698601395,10.071398441242664,194.0676 ± 10.0714,0.9521842053029449,0.0026245420904849486,0.9522 ± 0.0026
