seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,no_filter,4,0.009549738803798079,,0.021296639993646935,0.2274929151718341,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,4,0.006227380749135654,,0.015370000385125064,0.21527289027185714,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,4,0.010642859225038886,,0.023504818111588575,0.23066722460274816,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,dispersion,4,0.008494653587457733,,0.01927086568186049,0.2246737443553444,1000,1000,1089,256,gpt2-large,32,1,100,auto
2195,no_filter,4,0.010106965935864059,,0.022435137312060788,0.23003891569255627,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,4,0.005975235967441621,,0.014842522397179852,0.2140984395054704,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,4,0.011458539790341407,,0.024974078916488424,0.23301353195860808,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,dispersion,4,0.0073742819355704595,,0.01753941358363098,0.2194996257052351,1000,1000,2196,256,gpt2-large,32,1,100,auto
4960,no_filter,4,0.01006105859858301,,0.022740232905962686,0.22939257799287505,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,4,0.005340683106797084,,0.013624233609684702,0.210678098612118,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,4,0.011053447703847608,,0.024239890735571992,0.23253137180915093,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,dispersion,4,0.009361583430032499,,0.021094586078413715,0.22816694369660176,1000,1000,4961,256,gpt2-large,32,1,100,auto
