seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,no_filter,0,0.10586100813514204,,0.16011067148656477,0.33095800392728314,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,0,0.10978836155160884,,0.16382170738877877,0.33076006212928927,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,0,0.10801343286223826,,0.16404082283615484,0.3307861351378546,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,no_filter,1,0.03547477955394811,,0.0635875999346143,0.2743205136836116,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,1,0.03419223148064423,,0.06135558356683134,0.2705341838075932,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,1,0.04621537146471811,,0.07950679844001937,0.28497675446098847,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,no_filter,2,0.014478834383056603,,0.030644826622584435,0.24010844724410815,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,2,0.023025387346037308,,0.045411062384189266,0.2573640478140697,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,2,0.019232419869398852,,0.0391222110656625,0.24835619171185647,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,no_filter,3,0.010664294257479098,,0.02337350105964496,0.23208961547795212,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,3,0.015014187526051142,,0.030917627357336355,0.24303291811081373,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,3,0.012245806678452617,,0.026760583834948504,0.23358689367155544,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,no_filter,4,0.010661491108177778,,0.024418978572532262,0.22913131823088195,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,pointwise,4,0.013429405424299051,,0.02911300996930964,0.23785666742835493,1000,1000,1089,256,gpt2-large,32,1,100,auto
1088,set_aware,4,0.010487007594885883,,0.02331551527407198,0.22997792911615147,1000,1000,1089,256,gpt2-large,32,1,100,auto
2195,no_filter,0,0.13337663294377267,,0.19049985006985753,0.3458039646856071,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,0,0.11943159243279178,,0.17114636243393674,0.33711671803136506,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,0,0.11026931594643863,,0.16299369453247814,0.33340428293710134,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,no_filter,1,0.03864317005192852,,0.06722986370493042,0.27734472681992806,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,1,0.05058547297945114,,0.08657837308388133,0.2889113850048445,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,1,0.05938559773769353,,0.09582153975379026,0.2989486763994773,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,no_filter,2,0.024297148727070294,,0.04628794375926397,0.2586221737718234,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,2,0.03331645830823659,,0.059842343847423,0.2709892680557995,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,2,0.021495276236442536,,0.04100941863360591,0.25451912533704213,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,no_filter,3,0.01626180393421782,,0.033315752179558775,0.24220858829001757,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,3,0.025495860071234826,,0.04741809869764596,0.26009526323595056,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,3,0.014109058762952015,,0.02892713640282612,0.24010060174447237,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,no_filter,4,0.010678356885145861,,0.02318385946306652,0.23082170540511265,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,pointwise,4,0.01925923152837209,,0.03788533191741188,0.25047027113472287,1000,1000,2196,256,gpt2-large,32,1,100,auto
2195,set_aware,4,0.014251781818526077,,0.02921932349013076,0.24028286403248286,1000,1000,2196,256,gpt2-large,32,1,100,auto
4960,no_filter,0,0.13935176000783966,,0.20399855846323445,0.34839285970804634,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,0,0.1475451576865662,,0.20896288409962335,0.35480356027275173,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,0,0.14499022208863455,,0.20514493850700977,0.35259923096565304,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,no_filter,1,0.04662639650409667,,0.07996425361528145,0.2840347789017708,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,1,0.04763231836294552,,0.08281926047629361,0.28540377141886986,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,1,0.049562896940582316,,0.08352831095982909,0.28853890778975305,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,no_filter,2,0.022710858620549106,,0.0442117355413422,0.25545497989100796,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,2,0.024985732156301926,,0.04760082448195735,0.2592197418706233,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,2,0.022842316199279726,,0.044217892229354634,0.2561145796433192,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,no_filter,3,0.015533062306579411,,0.03128261629335068,0.24402348415458566,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,3,0.020990517639599318,,0.04069351862410797,0.25307921105947895,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,3,0.01597667468601683,,0.033880620252297086,0.24213579002695568,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,no_filter,4,0.00876534196150599,,0.02007032791796059,0.22589774894538867,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,pointwise,4,0.02038467559425608,,0.04040278552238627,0.2533104792601458,1000,1000,4961,256,gpt2-large,32,1,100,auto
4960,set_aware,4,0.01072951750998303,,0.023718801104251716,0.2307414133897902,1000,1000,4961,256,gpt2-large,32,1,100,auto
