generation,no_filter_alpha50_mean,no_filter_alpha50_std,ema_alpha50_mean,ema_alpha50_std,standard_filter_alpha50_mean,standard_filter_alpha50_std,hard_threshold_alpha50_mean,hard_threshold_alpha50_std,k_center_alpha50_mean,k_center_alpha50_std,dpp_alpha50_mean,dpp_alpha50_std,dst_alpha50_mean,dst_alpha50_std,l2ac_alpha50_mean,l2ac_alpha50_std,ours_alpha50_mean,ours_alpha50_std,no_filter_alpha100_mean,no_filter_alpha100_std,ema_alpha100_mean,ema_alpha100_std,standard_filter_alpha100_mean,standard_filter_alpha100_std,hard_threshold_alpha100_mean,hard_threshold_alpha100_std,k_center_alpha100_mean,k_center_alpha100_std,dpp_alpha100_mean,dpp_alpha100_std,dst_alpha100_mean,dst_alpha100_std,l2ac_alpha100_mean,l2ac_alpha100_std,ours_alpha100_mean,ours_alpha100_std
1,0.770695,0.071495,0.087032,0.023491,0.026519,0.006547,0.043950,0.007695,0.033188,0.005415,0.032478,0.005434,0.026449,0.006549,0.026505,0.006533,1.139501,0.062370,1.139266,0.081646,0.123144,0.024693,0.026504,0.006527,0.041032,0.008685,0.033188,0.005415,0.032478,0.005434,0.026541,0.006472,0.026505,0.006533,1.148763,0.061204
2,0.755502,0.042129,0.152061,0.021201,0.022422,0.005472,0.063992,0.005687,0.031605,0.006127,0.026343,0.005861,0.022314,0.005445,0.054347,0.007956,1.605982,0.112555,1.122957,0.048337,0.221810,0.021801,0.022378,0.005465,0.058577,0.007457,0.031605,0.006127,0.026343,0.005861,0.022442,0.005347,0.054457,0.007850,1.627097,0.095105
3,0.753055,0.092731,0.211371,0.023581,0.018447,0.006071,0.081941,0.005041,0.029062,0.008818,0.026015,0.010446,0.018318,0.006054,0.025403,0.010451,1.768063,0.154116,1.116653,0.102895,0.310694,0.024181,0.018410,0.006017,0.076364,0.009469,0.029062,0.008818,0.026015,0.010446,0.018444,0.005840,0.025424,0.010479,1.796119,0.124970
4,0.743260,0.029096,0.263771,0.021424,0.016244,0.006267,0.093875,0.007418,0.027815,0.010477,0.029124,0.009388,0.016018,0.006346,0.045832,0.004766,1.789053,0.191587,1.113723,0.035097,0.390395,0.022065,0.016108,0.006198,0.085764,0.007887,0.027815,0.010477,0.029124,0.009388,0.016287,0.005966,0.045911,0.004801,1.822894,0.153135
5,0.770578,0.088813,0.313624,0.020595,0.015299,0.005852,0.102438,0.010331,0.026193,0.008162,0.032247,0.008555,0.015204,0.005755,0.031153,0.009763,1.738530,0.223460,1.135271,0.095846,0.464273,0.021519,0.015261,0.005670,0.096805,0.010299,0.026193,0.008162,0.032247,0.008555,0.015400,0.005339,0.031169,0.009760,1.780030,0.176912
6,0.774695,0.075313,0.358894,0.015694,0.015513,0.003726,0.109312,0.012533,0.027341,0.009358,0.031223,0.008031,0.015477,0.003597,0.040130,0.009648,1.652797,0.247748,1.139564,0.081998,0.531158,0.016156,0.015482,0.003707,0.107153,0.010669,0.027341,0.009358,0.031223,0.008031,0.015527,0.003470,0.040191,0.009650,1.704745,0.198100
7,0.759791,0.063717,0.398108,0.018057,0.016505,0.002874,0.117050,0.013478,0.027858,0.009627,0.031286,0.010084,0.016334,0.003012,0.037318,0.011375,1.549567,0.267044,1.122952,0.073414,0.589648,0.018400,0.016378,0.002924,0.114262,0.011023,0.027858,0.009627,0.031286,0.010084,0.016413,0.002914,0.037411,0.011394,1.610932,0.218328
8,0.780078,0.045587,0.435572,0.013921,0.016644,0.005620,0.127206,0.011722,0.031860,0.010860,0.027921,0.008132,0.016454,0.005632,0.037564,0.013315,1.435531,0.283437,1.149163,0.050389,0.645031,0.014197,0.016475,0.005786,0.122097,0.010637,0.031860,0.010860,0.027921,0.008132,0.016621,0.005509,0.037445,0.013261,1.506202,0.237781
9,0.749649,0.105194,0.466145,0.012161,0.015385,0.003927,0.132202,0.012367,0.029901,0.009187,0.025749,0.006485,0.015298,0.003545,0.034085,0.010682,1.315160,0.296718,1.115369,0.114685,0.691419,0.012694,0.015280,0.004195,0.129713,0.011869,0.029901,0.009187,0.025749,0.006485,0.015341,0.004067,0.034172,0.010478,1.396046,0.254907
10,0.786363,0.103698,0.497610,0.017842,0.015448,0.004711,0.138831,0.010053,0.027641,0.005289,0.025383,0.003714,0.015285,0.004471,0.035912,0.011655,1.190343,0.306806,1.153800,0.110638,0.737215,0.018705,0.015424,0.004838,0.136848,0.009580,0.027641,0.005289,0.025383,0.003714,0.015161,0.004927,0.036037,0.011603,1.282603,0.269497
