generation,no_filter_sig0.2_n20_mean,no_filter_sig0.2_n20_std,ema_sig0.2_n20_mean,ema_sig0.2_n20_std,standard_filter_sig0.2_n20_mean,standard_filter_sig0.2_n20_std,hard_threshold_sig0.2_n20_mean,hard_threshold_sig0.2_n20_std,k_center_sig0.2_n20_mean,k_center_sig0.2_n20_std,dpp_sig0.2_n20_mean,dpp_sig0.2_n20_std,dst_sig0.2_n20_mean,dst_sig0.2_n20_std,l2ac_sig0.2_n20_mean,l2ac_sig0.2_n20_std,ours_sig0.2_n20_mean,ours_sig0.2_n20_std
1,0.618727,0.209912,0.073068,0.019948,0.030738,0.011776,0.046281,0.011033,0.043589,0.014519,0.048762,0.015097,0.030780,0.011808,0.030734,0.011763,5.604199,0.064062
2,0.788019,0.158168,0.134152,0.024413,0.031979,0.006656,0.068467,0.011397,0.053189,0.012618,0.049279,0.012243,0.031998,0.006658,0.057726,0.011449,8.298157,0.101489
3,0.877981,0.265153,0.199255,0.035691,0.028688,0.006408,0.078448,0.012717,0.057144,0.013595,0.051383,0.010135,0.028713,0.006593,0.032392,0.008533,9.574154,0.132247
4,0.747320,0.150093,0.246750,0.026891,0.030724,0.011523,0.096811,0.007628,0.062696,0.010275,0.050520,0.014858,0.030830,0.011627,0.045845,0.009650,10.145643,0.161238
5,0.817309,0.161809,0.297659,0.025253,0.030438,0.011292,0.103476,0.008063,0.055632,0.017975,0.058741,0.020305,0.030630,0.011542,0.043187,0.014767,10.361157,0.192103
6,0.640777,0.148645,0.327162,0.023231,0.035880,0.015864,0.118878,0.017647,0.062816,0.013725,0.072233,0.017759,0.036232,0.015970,0.049208,0.023214,10.401253,0.224290
7,0.835694,0.182868,0.368912,0.028809,0.031474,0.008492,0.125147,0.016945,0.060175,0.014387,0.067218,0.014400,0.031802,0.008376,0.035821,0.009973,10.351825,0.256193
8,0.831813,0.264369,0.405543,0.043711,0.029281,0.009220,0.133499,0.018910,0.062663,0.013792,0.066485,0.010213,0.029484,0.009113,0.037889,0.011264,10.255520,0.286976
9,0.759121,0.235372,0.433872,0.047997,0.028910,0.009802,0.136723,0.022366,0.065877,0.022694,0.062794,0.010239,0.028852,0.009549,0.042006,0.007197,10.133995,0.315600
10,0.734149,0.140633,0.455406,0.040282,0.032032,0.007998,0.141875,0.023360,0.067002,0.019552,0.071856,0.014186,0.031877,0.007933,0.040515,0.007452,9.996741,0.343067
11,0.721721,0.154673,0.474243,0.028946,0.031207,0.007569,0.144879,0.021724,0.074324,0.020224,0.070606,0.019784,0.031167,0.007457,0.041444,0.010925,9.848110,0.370244
12,0.551251,0.131265,0.476854,0.029833,0.036420,0.003729,0.153847,0.015225,0.068466,0.025569,0.073073,0.021875,0.036229,0.003934,0.034504,0.009827,9.688634,0.399180
13,0.661881,0.237459,0.489083,0.032363,0.037920,0.004763,0.151282,0.012593,0.069828,0.023469,0.075128,0.025587,0.037685,0.004837,0.037541,0.010125,9.516786,0.430400
14,0.802990,0.433795,0.511692,0.056304,0.031314,0.009594,0.146480,0.014490,0.073178,0.020332,0.078272,0.019529,0.031240,0.009510,0.038941,0.011103,9.332781,0.463624
15,0.726678,0.171658,0.522941,0.060425,0.030822,0.010401,0.149600,0.015660,0.074854,0.016496,0.070794,0.017483,0.030475,0.010299,0.033789,0.010402,9.135778,0.499503
16,0.834083,0.194567,0.543833,0.045782,0.029581,0.005557,0.149895,0.016187,0.063472,0.020373,0.079885,0.023845,0.029073,0.005269,0.039807,0.015558,8.924639,0.537340
17,0.687296,0.108656,0.552144,0.048833,0.030947,0.005939,0.153472,0.011162,0.071818,0.031323,0.087440,0.028404,0.030318,0.005934,0.030508,0.005659,8.697965,0.577235
18,0.823605,0.436547,0.564175,0.060168,0.028967,0.009984,0.146617,0.007770,0.065378,0.027138,0.075704,0.031871,0.028564,0.009656,0.034335,0.008882,8.454728,0.619592
19,0.861464,0.402180,0.586750,0.061884,0.025221,0.009570,0.148207,0.011762,0.056323,0.024637,0.066563,0.020324,0.024763,0.009298,0.033161,0.013936,8.193477,0.664428
20,0.786308,0.226400,0.599047,0.050153,0.021448,0.008715,0.147303,0.006771,0.055266,0.018917,0.055326,0.015949,0.021031,0.008606,0.036685,0.012543,7.912441,0.712301
