method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9
baseline,0,2500,0.2852,0.031,,0.637,0.147,0.031,0.163,0.458,0.142,0.417,0.054,0.185,0.618,0,0,0,0,0,0,0,0,0,0
baseline,1,6500,0.3706,0.118,,0.686,0.346,0.197,0.118,0.388,0.336,0.419,0.477,0.186,0.553,2492,58,4,0,124,75,0,0,33,1214
baseline,2,10500,0.3931,0.195,,0.703,0.361,0.273,0.195,0.331,0.389,0.453,0.463,0.201,0.562,2170,211,0,0,289,136,0,3,0,1191
baseline,3,14500,0.4029,0.185,,0.718,0.356,0.292,0.185,0.367,0.407,0.474,0.451,0.202,0.577,1556,595,19,0,419,320,14,294,8,775
baseline,4,18500,0.4089,0.179,,0.755,0.337,0.279,0.179,0.382,0.431,0.477,0.482,0.195,0.572,878,324,182,0,480,462,124,795,168,587
baseline,5,22500,0.406,0.154,,0.77,0.337,0.269,0.154,0.391,0.411,0.463,0.498,0.191,0.576,842,157,408,0,481,533,373,663,287,256
set_aware,0,2500,0.2852,0.031,,0.637,0.147,0.031,0.163,0.458,0.142,0.417,0.054,0.185,0.618,0,0,0,0,0,0,0,0,0,0
set_aware,1,6500,0.3707,0.131,7715.796875,0.621,0.356,0.138,0.131,0.415,0.341,0.41,0.474,0.308,0.513,1841,125,11,0,681,147,55,0,57,1083
set_aware,2,10500,0.3905,0.172,7964.1591796875,0.649,0.381,0.183,0.172,0.438,0.379,0.396,0.454,0.308,0.545,1637,429,0,0,783,247,1,10,6,887
set_aware,3,14500,0.401,0.172,7998.048828125,0.681,0.402,0.195,0.172,0.468,0.424,0.365,0.451,0.277,0.575,1277,540,0,0,856,253,68,211,3,792
set_aware,4,18500,0.4099,0.195,7998.3974609375,0.71,0.394,0.215,0.195,0.468,0.415,0.362,0.489,0.268,0.583,828,414,6,0,758,443,172,705,150,524
set_aware,5,22500,0.4138,0.177,7999.01123046875,0.73,0.407,0.207,0.177,0.469,0.439,0.359,0.512,0.271,0.567,698,297,74,0,433,531,248,770,401,548
