seed,method,generation,mauve,mauve_std,mauve_star,divergence,p_samples,q_samples,ref_seed,max_text_length,model_name,batch_size,kmeans_num_redo,kmeans_max_iter,num_buckets
1088,no_filter,0,0.2465015740721082,,0.31219554099418395,0.39779920276067426,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,pointwise,0,0.2611017590264294,,0.3287011939817951,0.4042362447804559,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,set_aware,0,0.23288340084925274,,0.29743626406258844,0.39300233804278933,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,no_filter,1,0.13346034879105634,,0.1895508815871021,0.3434023227423197,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,pointwise,1,0.1041144716718313,,0.1536178852572292,0.3253740277969967,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,set_aware,1,0.11616955732960253,,0.17016059874866346,0.3331678370983867,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,no_filter,2,0.11129483497965495,,0.16642580376103044,0.32975089490156106,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,pointwise,2,0.08215655497466935,,0.1300411149534278,0.31044092056820455,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,set_aware,2,0.09703055192936169,,0.1475737702275124,0.3223555299555603,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,no_filter,3,0.08417430004687868,,0.1317636959623984,0.3127510327614626,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,pointwise,3,0.06005852651767149,,0.09839070917874597,0.29224510363034806,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,set_aware,3,0.09043374516164603,,0.1397449308787014,0.3161729834676727,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,no_filter,4,0.052917045574007116,,0.08879983642365345,0.2873457491939972,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,pointwise,4,0.03715720242593108,,0.06680494707159346,0.2719401994668542,1000,1000,1089,128,gpt2-large,32,1,100,auto
1088,set_aware,4,0.0650436635027349,,0.10559204329715663,0.29775572691027846,1000,1000,1089,128,gpt2-large,32,1,100,auto
2195,no_filter,0,0.1502496561520847,,0.20953182214415034,0.35349352305106646,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,pointwise,0,0.1443077520128937,,0.19955480028555556,0.3499639392723709,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,set_aware,0,0.14090132357759966,,0.19690341926462468,0.347616367979573,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,no_filter,1,0.10052096129636262,,0.15324309707894562,0.3231769963000192,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,pointwise,1,0.1034639932473263,,0.15710697094438397,0.32415961071056976,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,set_aware,1,0.12639222419738205,,0.18385869626843032,0.34062372272193453,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,no_filter,2,0.09400566431896588,,0.14400444993222888,0.3181235574128434,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,pointwise,2,0.043556014783016364,,0.07629020227193123,0.2803816531543053,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,set_aware,2,0.09998592936351794,,0.14995169423638557,0.32454576066312996,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,no_filter,3,0.06943123992875556,,0.11144803793181213,0.30124683859794293,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,pointwise,3,0.02333141347075127,,0.045168689621543905,0.25305695736257156,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,set_aware,3,0.07011899682690495,,0.11159849041419362,0.3026333767764906,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,no_filter,4,0.05954410018638698,,0.10143061849001096,0.29235688486853395,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,pointwise,4,0.018730405811591983,,0.03785937271708369,0.24755264708546426,1000,1000,2196,128,gpt2-large,32,1,100,auto
2195,set_aware,4,0.06642173421304888,,0.10663191081597795,0.30126612937452507,1000,1000,2196,128,gpt2-large,32,1,100,auto
4960,no_filter,0,0.21358779429783026,,0.27932997818922456,0.3832361542672485,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,pointwise,0,0.19903997983967614,,0.25853448486566,0.37762433582572796,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,set_aware,0,0.19564398562199026,,0.2587549211569723,0.37547102744131294,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,no_filter,1,0.09068538087610704,,0.14253403958394661,0.316587124351165,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,pointwise,1,0.07315656970883902,,0.11410258343908226,0.30389076402769555,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,set_aware,1,0.10932735689075587,,0.16444691045248694,0.329318726506803,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,no_filter,2,0.09247622073320655,,0.14179721629999098,0.3188911253333836,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,pointwise,2,0.06120142830153077,,0.10290601261400048,0.2933098616969064,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,set_aware,2,0.08221495211540138,,0.12734142360645895,0.31212028685689064,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,no_filter,3,0.07547895184782873,,0.1200221144115665,0.30703965116732634,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,pointwise,3,0.028798577019051794,,0.05412646882050136,0.2626757642815233,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,set_aware,3,0.07632578177111196,,0.12025954742873513,0.30702920807181294,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,no_filter,4,0.06950750484901799,,0.11080149024759339,0.3027298410627611,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,pointwise,4,0.015407677237560643,,0.032198310344442,0.2414699293557271,1000,1000,4961,128,gpt2-large,32,1,100,auto
4960,set_aware,4,0.06806422012647155,,0.10769682191196062,0.30212147128285455,1000,1000,4961,128,gpt2-large,32,1,100,auto
