generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,1.201348,0.015121,4.589818,0.102357,1.074765,0.020435
2,1.202206,0.004412,5.014785,0.032718,1.089411,0.023853
3,1.204485,0.011180,5.008978,0.076197,1.084919,0.025879
4,1.195096,0.007239,4.984174,0.195682,1.071204,0.022367
5,1.214041,0.020908,4.985487,0.263134,1.083833,0.023767
6,1.203157,0.018912,4.951776,0.264498,1.066287,0.029539
7,1.203275,0.015197,4.915638,0.288553,1.060707,0.018141
8,1.210280,0.020423,4.887494,0.320553,1.063160,0.034917
9,1.200598,0.018660,4.901715,0.321951,1.052632,0.023699
10,1.195597,0.024066,4.886337,0.341455,1.039965,0.029814
11,1.194592,0.021444,4.883096,0.343524,1.033873,0.026342
12,1.198217,0.028162,4.892217,0.351275,1.033862,0.038896
13,1.188734,0.011916,4.892325,0.374167,1.018507,0.021650
14,1.192683,0.013048,4.855673,0.376319,1.014864,0.026536
15,1.196630,0.015617,4.825131,0.384510,1.015914,0.022231
16,1.207621,0.016841,4.824218,0.382661,1.020063,0.016436
17,1.205485,0.021477,4.830731,0.404005,1.019538,0.024455
18,1.221547,0.020053,4.842588,0.415964,1.030385,0.016824
19,1.207408,0.012256,4.824106,0.422102,1.015012,0.006674
20,1.205250,0.017853,4.803800,0.439493,1.008642,0.023136
21,1.200032,0.016249,4.799360,0.446694,1.001017,0.012585
22,1.182414,0.020618,4.782260,0.459395,0.979482,0.021276
23,1.208320,0.023636,4.790782,0.465682,1.001277,0.019335
24,1.205358,0.023081,4.785292,0.458693,0.996740,0.020113
25,1.204349,0.023670,4.768595,0.491560,0.995351,0.016927
26,1.204201,0.027609,4.760402,0.485461,0.998360,0.021028
27,1.206937,0.015073,4.736274,0.487107,0.995445,0.013435
28,1.207099,0.026243,4.726524,0.520754,0.996244,0.018910
29,1.215946,0.018352,4.711504,0.516617,1.004206,0.017818
30,1.205954,0.018778,4.715497,0.523937,0.989812,0.016236
31,1.195580,0.019548,4.703848,0.537843,0.984197,0.012863
32,1.207364,0.016587,4.712445,0.569515,0.992349,0.010771
33,1.199291,0.024997,4.697229,0.561525,0.991508,0.020250
34,1.209789,0.016585,4.674370,0.591242,0.994835,0.013387
35,1.206512,0.029205,4.660918,0.605168,0.996140,0.017503
36,1.210117,0.012311,4.652209,0.606244,0.994270,0.013264
37,1.201202,0.020647,4.637552,0.609010,0.983167,0.023937
38,1.213721,0.026096,4.658657,0.642735,0.992104,0.023434
39,1.214224,0.022200,4.640704,0.637589,0.992858,0.014613
40,1.199337,0.015709,4.632553,0.659729,0.994546,0.015141
41,1.207799,0.026535,4.632302,0.671427,0.993306,0.019370
42,1.197439,0.022987,4.623949,0.669835,0.995392,0.015260
43,1.207982,0.025107,4.612861,0.660853,0.999052,0.017548
