domain,method,method_label,generation,n_seeds,acc_mean,acc_std,acc_pm,worst_class_acc_mean,worst_class_acc_std,worst_class_acc_pm,sel_pseudo_acc_mean,sel_pseudo_acc_std,sel_pseudo_acc_pm
cifar,set_aware,SAGE-Filter,0,3,0.4061666666666666,0.01682151400241172,0.4062 ± 0.0168,0.19966666666666666,0.015947831618540912,0.1997 ± 0.0159,,,
cifar,set_aware,SAGE-Filter,1,3,0.4503,0.010816653826391954,0.4503 ± 0.0108,0.23433333333333337,0.01709775813764288,0.2343 ± 0.0171,0.6814971004607712,0.012342996290628181,0.6815 ± 0.0123
cifar,set_aware,SAGE-Filter,2,3,0.46523333333333333,0.010262715689978611,0.4652 ± 0.0103,0.25866666666666666,0.0030550504633038962,0.2587 ± 0.0031,0.7004860634426238,0.012098804643381365,0.7005 ± 0.0121
cifar,set_aware,SAGE-Filter,3,3,0.4747666666666666,0.0046047077359299814,0.4748 ± 0.0046,0.272,0.009539392014169434,0.2720 ± 0.0095,0.6489643051895219,0.00214692460470306,0.6490 ± 0.0021
cifar,set_aware,SAGE-Filter,4,3,0.4780333333333333,0.0057587614409118455,0.4780 ± 0.0058,0.26833333333333337,0.012583057392117927,0.2683 ± 0.0126,0.6117499999999999,0.010697546447667353,0.6117 ± 0.0107
cifar,set_aware,SAGE-Filter,5,3,0.48066666666666663,0.006466323014923794,0.4807 ± 0.0065,0.27266666666666667,0.006027713773341713,0.2727 ± 0.0060,0.5669166666666666,0.014355602855099242,0.5669 ± 0.0144
cifar,clean_ft,Direct Fine-tuning,0,3,0.4061666666666666,0.01682151400241172,0.4062 ± 0.0168,0.19966666666666666,0.015947831618540912,0.1997 ± 0.0159,,,
cifar,clean_ft,Direct Fine-tuning,1,3,0.3445666666666667,0.010080343909477171,0.3446 ± 0.0101,0.19399999999999998,0.01113552872566004,0.1940 ± 0.0111,,,
cifar,clean_ft,Direct Fine-tuning,2,3,0.3231,0.008261355820929161,0.3231 ± 0.0083,0.16566666666666666,0.02706165799305972,0.1657 ± 0.0271,,,
cifar,clean_ft,Direct Fine-tuning,3,3,0.3179666666666667,0.011787422675603563,0.3180 ± 0.0118,0.17200000000000001,0.01609347693943108,0.1720 ± 0.0161,,,
cifar,clean_ft,Direct Fine-tuning,4,3,0.31926666666666664,0.01285975634813247,0.3193 ± 0.0129,0.17133333333333334,0.0178978583448784,0.1713 ± 0.0179,,,
cifar,clean_ft,Direct Fine-tuning,5,3,0.31629999999999997,0.020929166251907882,0.3163 ± 0.0209,0.18533333333333335,0.008144527815247085,0.1853 ± 0.0081,,,
cifar,clean_mix,Direct Mixing,0,3,0.4061666666666666,0.01682151400241172,0.4062 ± 0.0168,0.19966666666666666,0.015947831618540912,0.1997 ± 0.0159,,,
cifar,clean_mix,Direct Mixing,1,3,0.45226666666666665,0.012358128229361144,0.4523 ± 0.0124,0.2383333333333333,0.016563010998406458,0.2383 ± 0.0166,0.7074166666666667,0.029527882303567475,0.7074 ± 0.0295
cifar,clean_mix,Direct Mixing,2,3,0.46900000000000003,0.011620240961357045,0.4690 ± 0.0116,0.24333333333333332,0.016258331197676265,0.2433 ± 0.0163,0.6920833333333333,0.03265858743628286,0.6921 ± 0.0327
cifar,clean_mix,Direct Mixing,3,3,0.4782,0.00839999999999999,0.4782 ± 0.0084,0.221,0.006082762530298225,0.2210 ± 0.0061,0.6580833333333334,0.021439352446688598,0.6581 ± 0.0214
cifar,clean_mix,Direct Mixing,4,3,0.48433333333333334,0.010807559083036902,0.4843 ± 0.0108,0.20233333333333334,0.01569500982265807,0.2023 ± 0.0157,0.5948333333333333,0.01879882531791107,0.5948 ± 0.0188
cifar,clean_mix,Direct Mixing,5,3,0.48866666666666664,0.007251436639269037,0.4887 ± 0.0073,0.18133333333333335,0.015821925715074424,0.1813 ± 0.0158,0.5260833333333333,0.02871447080016164,0.5261 ± 0.0287
cifar,batch_mean,Batch-Mean,0,3,0.4061666666666666,0.01682151400241172,0.4062 ± 0.0168,0.19966666666666666,0.015947831618540912,0.1997 ± 0.0159,,,
cifar,batch_mean,Batch-Mean,1,3,0.45260000000000006,0.01204616121426241,0.4526 ± 0.0120,0.237,0.017521415467935234,0.2370 ± 0.0175,0.7074166666666667,0.029527882303567475,0.7074 ± 0.0295
cifar,batch_mean,Batch-Mean,2,3,0.47070000000000006,0.009357884376289313,0.4707 ± 0.0094,0.236,0.008185352771872443,0.2360 ± 0.0082,0.6943333333333334,0.02226871871781881,0.6943 ± 0.0223
cifar,batch_mean,Batch-Mean,3,3,0.4775666666666667,0.009476989676755657,0.4776 ± 0.0095,0.2293333333333333,0.014977761292440646,0.2293 ± 0.0150,0.6535000000000001,0.01931806149695146,0.6535 ± 0.0193
cifar,batch_mean,Batch-Mean,4,3,0.4825333333333333,0.009876402853940968,0.4825 ± 0.0099,0.19633333333333333,0.02064784088793144,0.1963 ± 0.0206,0.5869166666666666,0.015728821740147392,0.5869 ± 0.0157
cifar,batch_mean,Batch-Mean,5,3,0.48353333333333337,0.008863595959503888,0.4835 ± 0.0089,0.18200000000000002,0.03251153641401772,0.1820 ± 0.0325,0.516,0.033282878481285236,0.5160 ± 0.0333
