method,method_label,generation,n_seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,mauve_mean,mauve_std,mauve_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
unsup_set_aware,Unsup. SAGE,0,3,0.6748244698385335,0.01148116545727587,0.6748 ± 0.0115,47.28396748610901,2.1638649209048193,47.2840 ± 2.1639,0.19849977100598593,0.03843186242907131,0.1985 ± 0.0384,0.052460849728797054,0.0050952383691154944,0.0525 ± 0.0051
unsup_set_aware,Unsup. SAGE,1,3,0.5695524044721082,0.007852433608056968,0.5696 ± 0.0079,75.0245515536622,3.14076299402701,75.0246 ± 3.1408,0.07001150744556289,0.008146008649296628,0.0700 ± 0.0081,0.19129288468541997,0.014125739806301644,0.1913 ± 0.0141
unsup_set_aware,Unsup. SAGE,2,3,0.509804616453495,0.004388629129309185,0.5098 ± 0.0044,114.1607912065251,6.272350402163837,114.1608 ± 6.2724,0.028492761744779906,0.0053938317307436635,0.0285 ± 0.0054,0.32901869392992394,0.006785872476729167,0.3290 ± 0.0068
unsup_set_aware,Unsup. SAGE,3,3,0.5140155529053831,0.01223739350842978,0.5140 ± 0.0122,146.86287893229115,9.803554515565931,146.8629 ± 9.8036,0.018549386684987717,0.0010467679890676584,0.0185 ± 0.0010,0.41112413121395863,0.00323980105047298,0.4111 ± 0.0032
unsup_set_aware,Unsup. SAGE,4,3,0.4982954070675906,0.008002699370717932,0.4983 ± 0.0080,179.93903317953286,9.779071107860878,179.9390 ± 9.7791,0.01539303221771432,0.0010262992996384547,0.0154 ± 0.0010,0.440768386156481,0.014632563109537143,0.4408 ± 0.0146
no_filter,No Filter,0,3,0.6393087348710654,0.03036811417338508,0.6393 ± 0.0304,46.35871221379636,2.4074101096208382,46.3587 ± 2.4074,0.19144719003505492,0.029148331761086863,0.1914 ± 0.0291,0.2338236444146334,0.024194799185373313,0.2338 ± 0.0242
no_filter,No Filter,1,3,0.5261225538501152,0.04148229804637017,0.5261 ± 0.0415,74.73574543068123,6.007616844156123,74.7357 ± 6.0076,0.06373885983902776,0.008574697191537205,0.0637 ± 0.0086,0.39100330810120826,0.023793765901844604,0.3910 ± 0.0238
no_filter,No Filter,2,3,0.4821798868451899,0.019392882676322235,0.4822 ± 0.0194,112.27238559379263,13.137159491623471,112.2724 ± 13.1372,0.027190433029330923,0.008342997388589244,0.0272 ± 0.0083,0.4965730798745693,0.028425858128618416,0.4966 ± 0.0284
no_filter,No Filter,3,3,0.4517032568281149,0.013930033973416264,0.4517 ± 0.0139,143.08879599293647,24.37910781130766,143.0888 ± 24.3791,0.014853640648623372,0.003231968357881381,0.0149 ± 0.0032,0.5558204280237297,0.022749555789689065,0.5558 ± 0.0227
no_filter,No Filter,4,3,0.42532081518184633,0.012817959327584307,0.4253 ± 0.0128,174.56084291983635,28.688820953439503,174.5608 ± 28.6888,0.012030924833069641,0.0012475826886343166,0.0120 ± 0.0012,0.5739707130054945,0.018728083540784025,0.5740 ± 0.0187
pointwise,Pointwise,0,3,0.5991280711233956,0.03939718616064841,0.5991 ± 0.0394,41.90322739534658,1.1918453902130326,41.9032 ± 1.1918,0.20633677115917934,0.034701171721199915,0.2063 ± 0.0347,0.8922757463655623,0.043403844607386256,0.8923 ± 0.0434
pointwise,Pointwise,1,3,0.4652281706607801,0.07495678164030277,0.4652 ± 0.0750,57.51940461681682,2.5300803037010215,57.5194 ± 2.5301,0.04731273500888978,0.01637616517977832,0.0473 ± 0.0164,0.9590162372042932,0.0010398737183482949,0.9590 ± 0.0010
pointwise,Pointwise,2,3,0.3842047067177679,0.06148643450855854,0.3842 ± 0.0615,91.27337045476936,9.081310739063476,91.2734 ± 9.0813,0.023406859129188645,0.012216683134930581,0.0234 ± 0.0122,0.9606770490179087,0.0004741585241401788,0.9607 ± 0.0005
pointwise,Pointwise,3,3,0.35781950621370556,0.05115133513329004,0.3578 ± 0.0512,147.3559520748405,23.972657291362705,147.3560 ± 23.9727,0.013183470311157157,0.007137749777196735,0.0132 ± 0.0071,0.9605931360162413,0.0007520106803964034,0.9606 ± 0.0008
pointwise,Pointwise,4,3,0.3231284978383944,0.027849875529247323,0.3231 ± 0.0278,217.80205670578007,9.806943868637223,217.8021 ± 9.8069,0.009872519784282678,0.004170087691957279,0.0099 ± 0.0042,0.9608008515143823,0.0007493944625234331,0.9608 ± 0.0007
