family,winding_ratio,suggested_order
straight,1.008769,1
straight,1.004158,1
straight,1.005961,1
straight,1.005010,1
straight,1.005254,1
straight,1.005173,1
straight,1.006070,1
straight,1.002145,1
straight,1.011617,1
straight,1.010414,1
straight,1.012842,1
straight,1.003672,1
straight,1.012857,1
straight,1.011227,1
straight,1.004427,1
straight,1.010542,1
straight,1.008171,1
straight,1.004197,1
straight,1.007096,1
straight,1.000316,1
straight,1.003220,1
straight,1.009393,1
straight,1.001093,1
straight,1.005466,1
straight,1.003718,1
straight,1.026675,1
straight,1.002262,1
straight,1.014257,1
straight,1.004803,1
straight,1.000488,1
straight,1.009092,1
straight,1.007119,1
straight,1.010754,1
straight,1.006748,1
straight,1.011083,1
straight,1.005694,1
straight,1.005157,1
straight,1.016588,1
straight,1.021777,1
straight,1.010087,1
straight,1.000829,1
straight,1.018429,1
straight,1.003227,1
straight,1.011477,1
straight,1.007806,1
straight,1.019279,1
straight,1.003480,1
straight,1.004557,1
straight,1.005879,1
straight,1.005506,1
straight,1.003686,1
straight,1.007390,1
straight,1.004924,1
straight,1.008586,1
straight,1.016554,1
straight,1.008193,1
straight,1.003448,1
straight,1.007580,1
straight,1.002703,1
straight,1.003647,1
straight,1.014219,1
straight,1.013071,1
straight,1.007411,1
straight,1.002657,1
straight,1.008657,1
straight,1.003161,1
straight,1.007098,1
straight,1.035939,1
straight,1.005346,1
straight,1.010581,1
straight,1.001444,1
straight,1.006304,1
straight,1.002238,1
straight,1.007458,1
straight,1.012401,1
straight,1.004503,1
straight,1.007718,1
straight,1.005897,1
straight,1.010134,1
straight,1.008147,1
straight,1.004296,1
straight,1.009139,1
straight,1.017893,1
straight,1.011946,1
straight,1.006042,1
straight,1.004631,1
straight,1.003335,1
straight,1.012720,1
straight,1.005127,1
straight,1.015352,1
straight,1.003787,1
straight,1.005264,1
straight,1.010193,1
straight,1.002204,1
straight,1.006097,1
straight,1.004195,1
straight,1.023367,1
straight,1.008288,1
straight,1.010677,1
straight,1.003350,1
straight,1.003714,1
straight,1.012594,1
straight,1.011172,1
straight,1.001770,1
straight,1.006590,1
straight,1.001800,1
straight,1.006847,1
straight,1.007864,1
straight,1.007329,1
straight,1.006686,1
straight,1.008493,1
straight,1.009025,1
straight,1.001622,1
straight,1.007343,1
straight,1.003697,1
straight,1.005335,1
straight,1.011074,1
straight,1.008952,1
straight,1.005000,1
straight,1.015819,1
straight,1.004563,1
straight,1.023005,1
straight,1.017102,1
straight,1.010442,1
straight,1.003878,1
straight,1.017472,1
straight,1.003238,1
straight,1.001971,1
straight,1.006043,1
straight,1.002284,1
straight,1.002956,1
straight,1.007837,1
straight,1.002013,1
straight,1.005638,1
straight,1.023210,1
straight,1.012455,1
straight,1.004491,1
straight,1.025319,1
straight,1.007419,1
straight,1.002602,1
straight,1.011121,1
straight,1.004394,1
straight,1.006498,1
straight,1.008911,1
straight,1.009507,1
straight,1.004493,1
straight,1.010185,1
straight,1.008755,1
straight,1.009853,1
straight,1.012490,1
straight,1.020902,1
straight,1.002030,1
straight,1.007305,1
straight,1.006071,1
straight,1.011095,1
straight,1.003544,1
straight,1.015124,1
straight,1.013849,1
straight,1.002782,1
straight,1.002613,1
straight,1.012464,1
straight,1.015425,1
straight,1.004754,1
straight,1.001901,1
straight,1.012126,1
straight,1.012401,1
straight,1.005627,1
