step,no_correction,weight_only,set_aware,correction_only,full_method,no_correction_loss,weight_only_loss,set_aware_loss,correction_only_loss,full_method_loss,residual_gen,volume_change,diversity,best_full,best_full_step
1,1.51116455,1.51336277,1.52646840,1.52378964,1.52659845,2.28413248,2.29086876,2.33079600,2.32194924,2.33051682,0.01460276,0.13348824,22.09105468,1.52659845,1
2,1.49886394,1.50579119,1.51723242,1.45403957,1.45901871,2.24833202,2.26946783,2.30324841,2.11428547,2.12878799,0.01460751,0.13348799,22.05526400,1.45901871,2
3,1.54735136,1.56011939,1.54763341,1.39046538,1.39689505,2.39742231,2.43751574,2.39723730,1.93351078,1.95142770,0.01459559,0.13348813,22.11190343,1.39689505,3
4,1.63867855,1.65540957,1.57836962,1.33253443,1.33979905,2.68957424,2.74508643,2.49477172,1.77584529,1.79525006,0.01458899,0.13348788,22.09129727,1.33979905,4
5,1.75701165,1.76934814,1.65069437,1.27995503,1.28738189,3.09226704,3.13609838,2.72879982,1.63857746,1.65763068,0.01462738,0.13348795,22.42336905,1.28738189,5
6,1.89088595,1.90195465,1.72807658,1.23222089,1.23925161,3.58122230,3.62349534,2.99209857,1.51876616,1.53612280,0.01460911,0.13348840,22.09544849,1.23925161,6
7,2.03286839,2.04805756,1.81732917,1.18898857,1.19508779,4.13872099,4.20093489,3.30896330,1.41420519,1.42872071,0.01459767,0.13348833,22.08949316,1.19508779,7
8,2.17802668,2.19075274,1.91015506,1.14979494,1.15454578,4.75022125,4.80588293,3.65441680,1.32265842,1.33357430,0.01462858,0.13348808,22.17516065,1.15454578,8
9,2.32335639,2.33569336,2.02256465,1.11443925,1.11736143,5.40457249,5.46212673,4.09692621,1.24272156,1.24920821,0.01465209,0.13348812,22.07150483,1.11736143,9
10,2.46708775,2.47538900,2.12706089,1.08249927,1.08323896,6.09321880,6.13431120,4.53069210,1.17266572,1.17423081,0.01458883,0.13348772,22.12957251,1.08323896,10
11,2.60838413,2.61854649,2.21686673,1.05365729,1.05190766,6.81043816,6.86375237,4.92183208,1.11117053,1.10744596,0.01458222,0.13348771,22.14111388,1.05190766,11
12,2.74658942,2.74853611,2.31644821,1.02767229,1.02312934,7.55057430,7.56149817,5.37401104,1.05719709,1.04783821,0.01458731,0.13348821,22.21510959,1.02312934,12
13,2.88129282,2.88202429,2.41744614,1.00424385,0.99667978,8.30871105,8.31318283,5.85237885,1.00969565,0.99451721,0.01455980,0.13348829,22.13683200,0.99667978,13
14,3.01258540,3.01592064,2.50622940,0.98322225,0.97236359,9.08257294,9.10291290,6.28921127,0.96801239,0.94673479,0.01462498,0.13348793,22.22251868,0.97236359,14
15,3.14053965,3.14166021,2.63833809,0.96429133,0.94996774,9.86992550,9.87720203,6.96935701,0.93123990,0.90377527,0.01462771,0.13348810,22.24716330,0.94996774,15
16,3.26531839,3.26025367,2.76395345,0.94723082,0.92931151,10.66927338,10.63635826,7.64794922,0.89870775,0.86503959,0.01461120,0.13348842,22.53776169,0.92931151,16
17,3.38708282,3.38072062,2.85171127,0.93191725,0.91024470,11.47933102,11.43637848,8.14067078,0.87000388,0.83004022,0.01459910,0.13348785,22.30192256,0.91024470,17
18,3.50612545,3.50996351,2.95265770,0.91815293,0.89260960,12.29994965,12.32689762,8.72640133,0.84460384,0.79831487,0.01460811,0.13348809,22.00093722,0.89260960,18
19,3.62266469,3.62598038,3.06523991,0.90574199,0.87626868,13.13076973,13.15478516,9.40392971,0.82202482,0.76946932,0.01459903,0.13348823,22.02293324,0.87626868,19
20,3.73691845,3.73983669,3.18025446,0.89451867,0.86108834,13.97166443,13.99341679,10.12240410,0.80186599,0.74314725,0.01458390,0.13348777,22.05333102,0.86108834,20
