step,no_correction,weight_only,set_aware,correction_only,full_method,no_correction_loss,weight_only_loss,set_aware_loss,correction_only_loss,full_method_loss,residual_gen,volume_change,diversity,best_full,best_full_step
1,1.51466990,1.51706266,1.53029752,1.52384305,1.52656794,2.29497576,2.30230069,2.34309149,2.32212567,2.33042932,0.01548345,0.15537606,22.26788461,1.52656794,1
2,1.50613248,1.51349688,1.52638412,1.45419574,1.45890045,2.27092314,2.29343653,2.33269143,2.11478567,2.12846303,0.01550104,0.15537607,22.23686838,1.45890045,2
3,1.55816877,1.56912196,1.53766549,1.39060509,1.39669549,2.43224692,2.46688747,2.36840606,1.93399334,1.95091116,0.01547862,0.15537637,22.39036846,1.39669549,3
4,1.65261126,1.66581059,1.57571554,1.33268070,1.33944702,2.73695517,2.78090382,2.48732448,1.77639031,1.79437244,0.01550756,0.15537612,22.30514419,1.33944702,4
5,1.77358711,1.78199303,1.63819599,1.28010249,1.28693080,3.15240479,3.18220139,2.68892550,1.63918066,1.65656447,0.01551819,0.15537625,22.49706185,1.28693080,5
6,1.90966296,1.91440916,1.72681439,1.23225212,1.23874784,3.65415478,3.67224264,2.98816919,1.51914251,1.53500247,0.01547311,0.15537545,22.33641529,1.23874784,6
7,2.05339313,2.05998325,1.81305277,1.18884969,1.19443321,4.22403431,4.25113773,3.29319191,1.41424966,1.42731714,0.01547369,0.15537635,22.32541120,1.19443321,7
8,2.19999695,2.20323730,1.91308832,1.14946389,1.15370774,4.84769344,4.86190605,3.66636515,1.32234550,1.33183360,0.01553377,0.15537617,22.32788515,1.15370774,8
9,2.34654474,2.34515071,2.03388667,1.11398900,1.11638093,5.51397514,5.50750685,4.14337158,1.24224687,1.24724686,0.01553983,0.15537675,22.18594992,1.11638093,9
10,2.49133015,2.48174191,2.13022876,1.08179617,1.08208442,6.21436977,6.16671705,4.54486418,1.17174459,1.17199230,0.01546605,0.15537625,22.23772001,1.08208442,10
11,2.63351679,2.62803268,2.22203135,1.05271995,1.05056953,6.94296741,6.91412735,4.94538212,1.10985982,1.10492420,0.01546203,0.15537619,22.20265853,1.05056953,11
12,2.77255058,2.75984240,2.31819773,1.02652311,1.02161419,7.69449997,7.62420750,5.38236904,1.05555940,1.04506123,0.01548482,0.15537651,22.27626610,1.02161419,12
13,2.90801620,2.90093565,2.42928410,1.00319338,0.99498224,8.46392918,8.42276573,5.90936899,1.00838351,0.99148494,0.01544912,0.15537630,22.24995923,0.99498224,13
14,3.03998423,3.03693438,2.51744986,0.98189688,0.97048843,9.24879169,9.23012352,6.34528542,0.96626127,0.94346905,0.01551759,0.15537576,22.27922654,0.97048843,14
15,3.16860962,3.16278028,2.61776686,0.96253777,0.94788533,10.04729939,10.01024818,6.86010981,0.92874348,0.90022242,0.01553196,0.15537586,22.34158421,0.94788533,15
16,3.29406500,3.28133273,2.76129627,0.94516629,0.92703474,10.85801506,10.77419090,7.63204288,0.89572370,0.86123598,0.01550335,0.15537552,22.57598591,0.92703474,16
17,3.41645718,3.40179729,2.82902956,0.92957580,0.90779173,11.67927933,11.57924652,8.01089859,0.86660516,0.82602602,0.01551431,0.15537625,22.38583851,0.90779173,17
18,3.53611231,3.53078628,2.89160132,0.91545296,0.88999069,12.51114559,12.47335625,8.36861801,0.84064555,0.79411107,0.01547885,0.15537618,22.22363818,0.88999069,18
19,3.65328503,3.64741802,2.97980189,0.90276313,0.87347269,13.35351372,13.31050968,8.88646317,0.81765723,0.76505983,0.01548115,0.15537606,22.35430777,0.87347269,19
20,3.76817083,3.76049924,3.08341551,0.89124131,0.85811335,14.20610905,14.14817333,9.51474571,0.79704648,0.73852855,0.01548273,0.15537635,22.37361813,0.85811335,20
