scene,method,generation,delta_mu_norm,residual_norm,trace_a_res
fixed_additive_bias,No Filter,1,0.21633308,0.02279875,0.00000000
fixed_additive_bias,Weight-only,1,0.19367797,0.02279875,0.00000000
fixed_additive_bias,Set-Aware,1,0.19367797,0.22402561,0.00000000
fixed_additive_bias,Our method,1,0.19367797,0.01061626,-0.00466522
fixed_additive_bias,No Filter,2,0.21633308,0.02301712,0.00000000
fixed_additive_bias,Weight-only,2,0.19472366,0.02301712,0.00000000
fixed_additive_bias,Set-Aware,2,0.19472366,0.22285045,0.00000000
fixed_additive_bias,Our method,2,0.19472366,0.01176275,-0.00314365
fixed_additive_bias,No Filter,3,0.21633308,0.02485285,0.00000000
fixed_additive_bias,Weight-only,3,0.19598989,0.02485285,0.00000000
fixed_additive_bias,Set-Aware,3,0.19598989,0.22173807,0.00000000
fixed_additive_bias,Our method,3,0.19598989,0.01332799,-0.00257396
fixed_additive_bias,No Filter,4,0.21633308,0.02885395,0.00000000
fixed_additive_bias,Weight-only,4,0.20238652,0.02885395,0.00000000
fixed_additive_bias,Set-Aware,4,0.20238652,0.22066918,0.00000000
fixed_additive_bias,Our method,4,0.20238652,0.01451074,-0.00318120
fixed_additive_bias,No Filter,5,0.21633308,0.03387525,0.00000000
fixed_additive_bias,Weight-only,5,0.21169428,0.03387525,0.00000000
fixed_additive_bias,Set-Aware,5,0.21169428,0.21998120,0.00000000
fixed_additive_bias,Our method,5,0.21169428,0.01487073,-0.00445060
fixed_additive_bias,No Filter,6,0.21633308,0.03814280,0.00000000
fixed_additive_bias,Weight-only,6,0.22192087,0.03814280,0.00000000
fixed_additive_bias,Set-Aware,6,0.22192087,0.21973665,0.00000000
fixed_additive_bias,Our method,6,0.22192087,0.01455967,-0.00574026
fixed_additive_bias,No Filter,7,0.21633308,0.03628232,0.00000000
fixed_additive_bias,Weight-only,7,0.22649937,0.03628232,0.00000000
fixed_additive_bias,Set-Aware,7,0.22649937,0.21975725,0.00000000
fixed_additive_bias,Our method,7,0.22649937,0.01356368,-0.00559292
fixed_additive_bias,No Filter,8,0.21633308,0.03150842,0.00000000
fixed_additive_bias,Weight-only,8,0.22734969,0.03150842,0.00000000
fixed_additive_bias,Set-Aware,8,0.22734969,0.22017630,0.00000000
fixed_additive_bias,Our method,8,0.22734969,0.01258792,-0.00415111
fixed_additive_bias,No Filter,9,0.21633308,0.02666905,0.00000000
fixed_additive_bias,Weight-only,9,0.22500510,0.02666905,0.00000000
fixed_additive_bias,Set-Aware,9,0.22500510,0.22001644,0.00000000
fixed_additive_bias,Our method,9,0.22500510,0.01211305,-0.00208658
fixed_additive_bias,No Filter,10,0.21633308,0.02470828,0.00000000
fixed_additive_bias,Weight-only,10,0.22426707,0.02470828,0.00000000
fixed_additive_bias,Set-Aware,10,0.22426707,0.21929564,0.00000000
fixed_additive_bias,Our method,10,0.22426707,0.01222135,-0.00027968
fixed_additive_bias,No Filter,11,0.21633308,0.02407619,0.00000000
fixed_additive_bias,Weight-only,11,0.22361916,0.02407619,0.00000000
fixed_additive_bias,Set-Aware,11,0.22361916,0.21782312,0.00000000
fixed_additive_bias,Our method,11,0.22361916,0.01241338,0.00124125
fixed_additive_bias,No Filter,12,0.21633308,0.02453257,0.00000000
fixed_additive_bias,Weight-only,12,0.22393837,0.02453257,0.00000000
fixed_additive_bias,Set-Aware,12,0.22393837,0.21744811,0.00000000
fixed_additive_bias,Our method,12,0.22393837,0.01246888,0.00254136
fixed_additive_bias,No Filter,13,0.21633308,0.03193041,0.00000000
fixed_additive_bias,Weight-only,13,0.22974524,0.03193041,0.00000000
fixed_additive_bias,Set-Aware,13,0.22974524,0.21816962,0.00000000
fixed_additive_bias,Our method,13,0.22974524,0.01213097,0.00265550
fixed_additive_bias,No Filter,14,0.21633308,0.03860846,0.00000000
fixed_additive_bias,Weight-only,14,0.23946195,0.03860846,0.00000000
fixed_additive_bias,Set-Aware,14,0.23946195,0.21901904,0.00000000
fixed_additive_bias,Our method,14,0.23946195,0.01178667,0.00319490
fixed_additive_bias,No Filter,15,0.21633308,0.04151024,0.00000000
fixed_additive_bias,Weight-only,15,0.24506984,0.04151024,0.00000000
fixed_additive_bias,Set-Aware,15,0.24506984,0.21957113,0.00000000
fixed_additive_bias,Our method,15,0.24506984,0.01207890,0.00441451
fixed_additive_bias,No Filter,16,0.21633308,0.03989532,0.00000000
fixed_additive_bias,Weight-only,16,0.24843258,0.03989532,0.00000000
fixed_additive_bias,Set-Aware,16,0.24843258,0.22084872,0.00000000
fixed_additive_bias,Our method,16,0.24843258,0.01362873,0.00548929
fixed_additive_bias,No Filter,17,0.21633308,0.03544355,0.00000000
fixed_additive_bias,Weight-only,17,0.24914369,0.03544355,0.00000000
fixed_additive_bias,Set-Aware,17,0.24914369,0.22155865,0.00000000
fixed_additive_bias,Our method,17,0.24914369,0.01538306,0.00540229
fixed_additive_bias,No Filter,18,0.21633308,0.03584003,0.00000000
fixed_additive_bias,Weight-only,18,0.25149722,0.03584003,0.00000000
fixed_additive_bias,Set-Aware,18,0.25149722,0.22123089,0.00000000
fixed_additive_bias,Our method,18,0.25149722,0.01625491,0.00367967
fixed_additive_bias,No Filter,19,0.21633308,0.03532549,0.00000000
fixed_additive_bias,Weight-only,19,0.25162083,0.03532549,0.00000000
fixed_additive_bias,Set-Aware,19,0.25162083,0.21980413,0.00000000
fixed_additive_bias,Our method,19,0.25162083,0.01623769,0.00180406
fixed_additive_bias,No Filter,20,0.21633308,0.03040047,0.00000000
fixed_additive_bias,Weight-only,20,0.24552502,0.03040047,0.00000000
fixed_additive_bias,Set-Aware,20,0.24552502,0.21806746,0.00000000
fixed_additive_bias,Our method,20,0.24552502,0.01499945,0.00075768
fixed_additive_bias,No Filter,21,0.21633308,0.02813444,0.00000000
fixed_additive_bias,Weight-only,21,0.24055675,0.02813444,0.00000000
fixed_additive_bias,Set-Aware,21,0.24055675,0.21650644,0.00000000
fixed_additive_bias,Our method,21,0.24055675,0.01315652,0.00009859
fixed_additive_bias,No Filter,22,0.21633308,0.02905477,0.00000000
fixed_additive_bias,Weight-only,22,0.22919781,0.02905477,0.00000000
fixed_additive_bias,Set-Aware,22,0.22919781,0.21588547,0.00000000
fixed_additive_bias,Our method,22,0.22919781,0.01123751,0.00006741
fixed_additive_bias,No Filter,23,0.21633308,0.03574743,0.00000000
fixed_additive_bias,Weight-only,23,0.21876581,0.03574743,0.00000000
fixed_additive_bias,Set-Aware,23,0.21876581,0.21515355,0.00000000
fixed_additive_bias,Our method,23,0.21876581,0.01052334,0.00088299
fixed_additive_bias,No Filter,24,0.21633308,0.04066352,0.00000000
fixed_additive_bias,Weight-only,24,0.21002295,0.04066352,0.00000000
fixed_additive_bias,Set-Aware,24,0.21002295,0.21416861,0.00000000
fixed_additive_bias,Our method,24,0.21002295,0.01148040,0.00386246
anisotropic_shrinkage,No Filter,1,0.68348686,0.02375595,0.00000000
anisotropic_shrinkage,Weight-only,1,0.69527452,0.02375595,0.00000000
anisotropic_shrinkage,Set-Aware,1,0.69527452,0.61764992,0.00000000
anisotropic_shrinkage,Our method,1,0.69527452,0.05244533,-0.01919754
anisotropic_shrinkage,No Filter,2,0.53620418,0.02224970,0.00000000
anisotropic_shrinkage,Weight-only,2,0.53768696,0.02224970,0.00000000
anisotropic_shrinkage,Set-Aware,2,0.60392553,0.57579530,0.00000000
anisotropic_shrinkage,Our method,2,0.60057930,0.04811603,-0.01749602
anisotropic_shrinkage,No Filter,3,0.48009666,0.02147957,0.00000000
anisotropic_shrinkage,Weight-only,3,0.47682415,0.02147957,0.00000000
anisotropic_shrinkage,Set-Aware,3,0.53283076,0.53404326,0.00000000
anisotropic_shrinkage,Our method,3,0.52033722,0.04686328,-0.01746524
anisotropic_shrinkage,No Filter,4,0.47313695,0.02334390,0.00000000
anisotropic_shrinkage,Weight-only,4,0.47883529,0.02334390,0.00000000
anisotropic_shrinkage,Set-Aware,4,0.48132166,0.49126566,0.00000000
anisotropic_shrinkage,Our method,4,0.45746341,0.04850966,-0.01987908
anisotropic_shrinkage,No Filter,5,0.48877757,0.03073805,0.00000000
anisotropic_shrinkage,Weight-only,5,0.50847031,0.03073805,0.00000000
anisotropic_shrinkage,Set-Aware,5,0.43859524,0.44758967,0.00000000
anisotropic_shrinkage,Our method,5,0.40360189,0.04903248,-0.02303180
anisotropic_shrinkage,No Filter,6,0.51419378,0.03903368,0.00000000
anisotropic_shrinkage,Weight-only,6,0.54995328,0.03903368,0.00000000
anisotropic_shrinkage,Set-Aware,6,0.40049763,0.40437211,0.00000000
anisotropic_shrinkage,Our method,6,0.35702485,0.04586220,-0.02446367
anisotropic_shrinkage,No Filter,7,0.54416233,0.03269191,0.00000000
anisotropic_shrinkage,Weight-only,7,0.58165429,0.03269191,0.00000000
anisotropic_shrinkage,Set-Aware,7,0.35895230,0.36249505,0.00000000
anisotropic_shrinkage,Our method,7,0.30764530,0.03962569,-0.02199402
anisotropic_shrinkage,No Filter,8,0.57675747,0.02416399,0.00000000
anisotropic_shrinkage,Weight-only,8,0.61271077,0.02416399,0.00000000
anisotropic_shrinkage,Set-Aware,8,0.31952023,0.32567960,0.00000000
anisotropic_shrinkage,Our method,8,0.26387349,0.03311988,-0.01837101
anisotropic_shrinkage,No Filter,9,0.61133967,0.02391121,0.00000000
anisotropic_shrinkage,Weight-only,9,0.65257664,0.02391121,0.00000000
anisotropic_shrinkage,Set-Aware,9,0.28936718,0.29351413,0.00000000
anisotropic_shrinkage,Our method,9,0.23297022,0.02837159,-0.01575554
anisotropic_shrinkage,No Filter,10,0.64774799,0.02204587,0.00000000
