scene,scene_title,method,generation,metric_l2
fixed_additive_bias,固定加性偏置,No Filter,1,2.85248401
fixed_additive_bias,固定加性偏置,Weight-only,1,2.82987764
fixed_additive_bias,固定加性偏置,Set-Aware,1,2.60593213
fixed_additive_bias,固定加性偏置,Our method,1,2.62738507
fixed_additive_bias,固定加性偏置,No Filter,2,2.67146090
fixed_additive_bias,固定加性偏置,Weight-only,2,2.63003889
fixed_additive_bias,固定加性偏置,Set-Aware,2,2.21518636
fixed_additive_bias,固定加性偏置,Our method,2,2.25330596
fixed_additive_bias,固定加性偏置,No Filter,3,2.52019727
fixed_additive_bias,固定加性偏置,Weight-only,3,2.46274044
fixed_additive_bias,固定加性偏置,Set-Aware,3,1.88508407
fixed_additive_bias,固定加性偏置,Our method,3,1.93636183
fixed_additive_bias,固定加性偏置,No Filter,4,2.39326775
fixed_additive_bias,固定加性偏置,Weight-only,4,2.32601054
fixed_additive_bias,固定加性偏置,Set-Aware,4,1.60931936
fixed_additive_bias,固定加性偏置,Our method,4,1.66914649
fixed_additive_bias,固定加性偏置,No Filter,5,2.28631539
fixed_additive_bias,固定加性偏置,Weight-only,5,2.21703978
fixed_additive_bias,固定加性偏置,Set-Aware,5,1.38110826
fixed_additive_bias,固定加性偏置,Our method,5,1.44506071
fixed_additive_bias,固定加性偏置,No Filter,6,2.19583880
fixed_additive_bias,固定加性偏置,Weight-only,6,2.13274057
fixed_additive_bias,固定加性偏置,Set-Aware,6,1.19405024
fixed_additive_bias,固定加性偏置,Our method,6,1.25752834
fixed_additive_bias,固定加性偏置,No Filter,7,2.11901781
fixed_additive_bias,固定加性偏置,Weight-only,7,2.06532464
fixed_additive_bias,固定加性偏置,Set-Aware,7,1.03783943
fixed_additive_bias,固定加性偏置,Our method,7,1.09964409
fixed_additive_bias,固定加性偏置,No Filter,8,2.05357256
fixed_additive_bias,固定加性偏置,Weight-only,8,2.00922698
fixed_additive_bias,固定加性偏置,Set-Aware,8,0.90466352
fixed_additive_bias,固定加性偏置,Our method,8,0.96571606
fixed_additive_bias,固定加性偏置,No Filter,9,1.99765112
fixed_additive_bias,固定加性偏置,Weight-only,9,1.95952471
fixed_additive_bias,固定加性偏置,Set-Aware,9,0.78851565
fixed_additive_bias,固定加性偏置,Our method,9,0.85118062
fixed_additive_bias,固定加性偏置,No Filter,10,1.94974078
fixed_additive_bias,固定加性偏置,Weight-only,10,1.91648965
fixed_additive_bias,固定加性偏置,Set-Aware,10,0.68837805
fixed_additive_bias,固定加性偏置,Our method,10,0.75257451
fixed_additive_bias,固定加性偏置,No Filter,11,1.90859846
