generation,no_filter,standard_filter,set_aware,our_method,set_aware_delta_phi_norm
1,0.49517927,0.24578897,0.22514921,0.02803437,0.70869917
2,0.50923265,0.37628531,0.13722217,0.01822234,0.52543271
3,0.47825998,0.42701428,0.07217309,0.01184452,0.63782912
4,0.51093801,0.46871436,0.15128278,0.00769894,0.61644369
5,0.51236707,0.49023951,0.18010194,0.00500431,0.58182687
6,0.49449433,0.49192210,0.15778989,0.00325280,0.58930272
7,0.50955360,0.50038648,0.10602102,0.00211432,0.58260524
8,0.50407972,0.50179794,0.08443055,0.00137431,0.57247609
9,0.51974675,0.51029406,0.10621607,0.00089330,0.55261874
10,0.50145565,0.50518737,0.13682790,0.00058065,0.51841700
11,0.49744765,0.50070592,0.14201594,0.00037742,0.48340955
12,0.50096796,0.49990071,0.12569772,0.00024532,0.45021570
13,0.51010957,0.50422279,0.10444510,0.00015946,0.43476939
14,0.49827947,0.50012035,0.07420079,0.00010365,0.44217438
15,0.49232830,0.49465760,0.05801752,0.00006737,0.45964220
16,0.49046986,0.49127644,0.05768188,0.00004379,0.48029110
17,0.48950731,0.48884418,0.05645892,0.00002846,0.50021207
18,0.49798401,0.49138896,0.05371806,0.00001850,0.51614112
19,0.49212312,0.48957772,0.05841163,0.00001203,0.53624612
20,0.48366443,0.48399166,0.07659077,0.00000782,0.54997516
21,0.49528517,0.48705688,0.07791737,0.00000508,0.55114102
22,0.51790649,0.49900293,0.07341914,0.00000330,0.54392368
23,0.48111084,0.48669244,0.08459398,0.00000215,0.53877318
24,0.50768851,0.49294795,0.07804025,0.00000140,0.51344699
25,0.50488797,0.49522360,0.07722422,0.00000091,0.48637822
26,0.48909005,0.48648803,0.06728745,0.00000059,0.46591648
27,0.52109821,0.49842885,0.06325068,0.00000038,0.44472769
28,0.49305408,0.48813366,0.06693038,0.00000025,0.44029093
29,0.47731832,0.47647928,0.05653112,0.00000016,0.45132267
30,0.52822749,0.49516304,0.05626346,0.00000011,0.45658487
31,0.46937732,0.47435928,0.05025985,0.00000007,0.48017839
32,0.51541359,0.48705780,0.04957575,0.00000004,0.48703939
33,0.50832248,0.48658995,0.05014734,0.00000003,0.50355226
34,0.51910650,0.49062898,0.04534690,0.00000002,0.51354343
35,0.50333867,0.48918799,0.03885885,0.00000001,0.52364254
36,0.53311256,0.50022777,0.03407296,0.00000001,0.52221316
37,0.49974137,0.48986076,0.04871341,0.00000001,0.51833898
38,0.49840259,0.47949954,0.05630977,0.00000000,0.50996500
39,0.51415500,0.48385418,0.05608563,0.00000000,0.49267578
40,0.48985018,0.47372291,0.05737764,0.00000000,0.47728515
41,0.51658082,0.47864758,0.05361919,0.00000000,0.45685244
42,0.53415741,0.48936238,0.05486478,0.00000000,0.44033876
43,0.49532937,0.47750287,0.04842208,0.00000000,0.44187871
44,0.50401890,0.47318801,0.03898552,0.00000000,0.44035041
45,0.48443335,0.46160221,0.03521794,0.00000000,0.43534932
46,0.47806911,0.45233432,0.04410183,0.00000000,0.40989304
47,0.50370727,0.45912757,0.02806037,0.00000000,0.38093203
48,0.49362810,0.45471469,0.04131496,0.00000000,0.35151646
49,0.50340984,0.46219018,0.05949422,0.00000000,0.33865246
50,0.49805751,0.45661519,0.05889228,0.00000000,0.36202112
51,0.50469727,0.45480768,0.04207952,0.00000000,0.36248097
52,0.50451693,0.45026881,0.03489639,0.00000000,0.38224927
53,0.50722008,0.45176280,0.03308731,0.00000000,0.35426182
54,0.48972979,0.43951568,0.05602017,0.00000000,0.35977715
55,0.51870387,0.44884031,0.05172877,0.00000000,0.31627288
56,0.52432435,0.45011928,0.06428336,0.00000000,0.31587115
57,0.50606965,0.44082690,0.06908356,0.00000000,0.35146794
58,0.48646416,0.43076726,0.07032777,0.00000000,0.39659926
59,0.51472051,0.43010914,0.07033900,0.00000000,0.36037979
60,0.51542819,0.43395952,0.06220263,0.00000000,0.34932998
61,0.51226164,0.43444564,0.03923132,0.00000000,0.33283293
62,0.49274943,0.41727792,0.04541604,0.00000000,0.29828894
63,0.49555758,0.41468441,0.04457040,0.00000000,0.30810562
64,0.51620950,0.42371158,0.03608141,0.00000000,0.28137493
65,0.50108432,0.40654290,0.03169221,0.00000000,0.30362114
66,0.49880614,0.39945418,0.04402693,0.00000000,0.30995896
67,0.50972409,0.40129313,0.04553677,0.00000000,0.32280406
68,0.49286687,0.39016705,0.03669972,0.00000000,0.35240233
69,0.49061254,0.38016436,0.04914252,0.00000000,0.38053414
70,0.51546719,0.38169173,0.06181274,0.00000000,0.34612322
71,0.50384426,0.38203358,0.06915768,0.00000000,0.33635139
72,0.49682586,0.36824447,0.06045600,0.00000000,0.31386417
73,0.52515477,0.37022105,0.06014944,0.00000000,0.29401213
74,0.48035089,0.36413255,0.07080382,0.00000000,0.31591293
75,0.53566364,0.37292432,0.06147284,0.00000000,0.29174021
76,0.49241641,0.36010606,0.07079165,0.00000000,0.31060070
77,0.51508861,0.35447272,0.06195306,0.00000000,0.32216927
78,0.47763248,0.34678455,0.06004486,0.00000000,0.36355811
79,0.51295721,0.33816290,0.06855449,0.00000000,0.32437605
80,0.49013920,0.32919939,0.06709276,0.00000000,0.33595312
