model,method,params,step,train_loss,test_loss
ST-0.41M,Set-Aware,315138,1,0.14059834,0.24212341
ST-0.41M,Our method,316163,1,0.95751411,0.16318402
ST-0.41M,Set-Aware,315138,2,0.24185209,0.07699969
ST-0.41M,Our method,316163,2,0.16362694,0.01398355
ST-0.41M,Set-Aware,315138,3,0.07750265,0.08416462
ST-0.41M,Our method,316163,3,0.01361833,0.08403233
ST-0.41M,Set-Aware,315138,4,0.07940638,0.07904936
ST-0.41M,Our method,316163,4,0.08243729,0.03986008
ST-0.41M,Set-Aware,315138,5,0.07257853,0.03514172
ST-0.41M,Our method,316163,5,0.03938132,0.01082401
ST-0.41M,Set-Aware,315138,6,0.03225709,0.02842559
ST-0.41M,Our method,316163,6,0.01174357,0.03929702
ST-0.41M,Set-Aware,315138,7,0.03013433,0.04713323
ST-0.41M,Our method,316163,7,0.03955105,0.03471236
ST-0.41M,Set-Aware,315138,8,0.05004017,0.04202692
ST-0.41M,Our method,316163,8,0.03396438,0.01715584
ST-0.41M,Set-Aware,315138,9,0.04351296,0.02561956
ST-0.41M,Our method,316163,9,0.01693158,0.01129424
ST-0.41M,Set-Aware,315138,10,0.02558222,0.02100674
ST-0.41M,Our method,316163,10,0.01211554,0.01092796
ST-0.41M,Set-Aware,315138,11,0.02041171,0.02767442
ST-0.41M,Our method,316163,11,0.01207645,0.01086504
ST-0.41M,Set-Aware,315138,12,0.02693799,0.03061289
ST-0.41M,Our method,316163,12,0.01159531,0.01156615
ST-0.41M,Set-Aware,315138,13,0.02939953,0.02558188
ST-0.41M,Our method,316163,13,0.01169007,0.01188706
ST-0.41M,Set-Aware,315138,14,0.02391188,0.01901543
ST-0.41M,Our method,316163,14,0.01165644,0.00991220
ST-0.41M,Set-Aware,315138,15,0.01756027,0.01595999
ST-0.41M,Our method,316163,15,0.00966317,0.00615819
ST-0.41M,Set-Aware,315138,16,0.01546696,0.01618660
ST-0.41M,Our method,316163,16,0.00608099,0.00301561
ST-0.41M,Set-Aware,315138,17,0.01688075,0.01727881
ST-0.41M,Our method,316163,17,0.00313180,0.00257582
ST-0.41M,Set-Aware,315138,18,0.01879244,0.01757761
ST-0.41M,Our method,316163,18,0.00280193,0.00474641
ST-0.41M,Set-Aware,315138,19,0.01932599,0.01651220
ST-0.41M,Our method,316163,19,0.00497255,0.00697707
ST-0.41M,Set-Aware,315138,20,0.01806802,0.01430215
ST-0.41M,Our method,316163,20,0.00713575,0.00672847
ST-0.41M,Set-Aware,315138,21,0.01548923,0.01193940
ST-0.41M,Our method,316163,21,0.00681428,0.00412273
ST-0.41M,Set-Aware,315138,22,0.01271165,0.01066190
ST-0.41M,Our method,316163,22,0.00416410,0.00139815
ST-0.41M,Set-Aware,315138,23,0.01098941,0.01101292
ST-0.41M,Our method,316163,23,0.00142747,0.00042745
ST-0.41M,Set-Aware,315138,24,0.01088491,0.01232473
ST-0.41M,Our method,316163,24,0.00046823,0.00125765
ST-0.41M,Set-Aware,315138,25,0.01182364,0.01322395
ST-0.41M,Our method,316163,25,0.00131939,0.00259899
ST-0.41M,Set-Aware,315138,26,0.01254902,0.01278366
ST-0.41M,Our method,316163,26,0.00267528,0.00320427
ST-0.41M,Set-Aware,315138,27,0.01218363,0.01123284
ST-0.41M,Our method,316163,27,0.00327981,0.00274956
ST-0.41M,Set-Aware,315138,28,0.01089674,0.00957618
ST-0.41M,Our method,316163,28,0.00281397,0.00174687
ST-0.41M,Set-Aware,315138,29,0.00957318,0.00862344
ST-0.41M,Our method,316163,29,0.00180359,0.00090699
ST-0.41M,Set-Aware,315138,30,0.00892069,0.00837206
ST-0.41M,Our method,316163,30,0.00096946,0.00058614
ST-0.41M,Set-Aware,315138,31,0.00888669,0.00823534
ST-0.41M,Our method,316163,31,0.00066497,0.00068440
ST-0.41M,Set-Aware,315138,32,0.00887226,0.00777543
ST-0.41M,Our method,316163,32,0.00077808,0.00092181
ST-0.41M,Set-Aware,315138,33,0.00843151,0.00709883
ST-0.41M,Our method,316163,33,0.00101899,0.00110995
ST-0.41M,Set-Aware,315138,34,0.00766115,0.00657894
ST-0.41M,Our method,316163,34,0.00119997,0.00117424
ST-0.41M,Set-Aware,315138,35,0.00694800,0.00639437
ST-0.41M,Our method,316163,35,0.00125482,0.00106662
ST-0.41M,Set-Aware,315138,36,0.00652357,0.00642188
ST-0.41M,Our method,316163,36,0.00114163,0.00078621
ST-0.41M,Set-Aware,315138,37,0.00633690,0.00644468
ST-0.41M,Our method,316163,37,0.00085633,0.00045968
ST-0.41M,Set-Aware,315138,38,0.00622568,0.00630769
ST-0.41M,Our method,316163,38,0.00051592,0.00029464
ST-0.41M,Set-Aware,315138,39,0.00604716,0.00592425
ST-0.41M,Our method,316163,39,0.00032207,0.00039589
ST-0.41M,Set-Aware,315138,40,0.00569312,0.00532233
ST-0.41M,Our method,316163,40,0.00038573,0.00064380
ST-0.41M,Set-Aware,315138,41,0.00516505,0.00471843
ST-0.41M,Our method,316163,41,0.00060346,0.00079265
ST-0.41M,Set-Aware,315138,42,0.00466276,0.00437422
ST-0.41M,Our method,316163,42,0.00074386,0.00070142
ST-0.41M,Set-Aware,315138,43,0.00443448,0.00431077
ST-0.41M,Our method,316163,43,0.00066695,0.00045222
ST-0.41M,Set-Aware,315138,44,0.00447221,0.00429026
ST-0.41M,Our method,316163,44,0.00044233,0.00024204
ST-0.41M,Set-Aware,315138,45,0.00449271,0.00414312
ST-0.41M,Our method,316163,45,0.00025189,0.00018686
ST-0.41M,Set-Aware,315138,46,0.00429559,0.00396791
ST-0.41M,Our method,316163,46,0.00020517,0.00024682
ST-0.41M,Set-Aware,315138,47,0.00399272,0.00392261
ST-0.41M,Our method,316163,47,0.00026650,0.00031464
ST-0.41M,Set-Aware,315138,48,0.00379805,0.00397222
ST-0.41M,Our method,316163,48,0.00033606,0.00033187
ST-0.41M,Set-Aware,315138,49,0.00374330,0.00395038
ST-0.41M,Our method,316163,49,0.00035801,0.00030811
ST-0.41M,Set-Aware,315138,50,0.00370012,0.00376739
ST-0.41M,Our method,316163,50,0.00033838,0.00026592
ST-0.41M,Set-Aware,315138,51,0.00357281,0.00347529
ST-0.41M,Our method,316163,51,0.00029504,0.00021027
ST-0.41M,Set-Aware,315138,52,0.00337753,0.00319698
ST-0.41M,Our method,316163,52,0.00023247,0.00015124
ST-0.41M,Set-Aware,315138,53,0.00319958,0.00303157
ST-0.41M,Our method,316163,53,0.00016492,0.00011991
ST-0.41M,Set-Aware,315138,54,0.00311334,0.00297903
ST-0.41M,Our method,316163,54,0.00012846,0.00013863
ST-0.41M,Set-Aware,315138,55,0.00310400,0.00294768
ST-0.41M,Our method,316163,55,0.00014715,0.00018623
ST-0.41M,Set-Aware,315138,56,0.00307747,0.00286931
ST-0.41M,Our method,316163,56,0.00019740,0.00021240
ST-0.41M,Set-Aware,315138,57,0.00297733,0.00277250
ST-0.41M,Our method,316163,57,0.00022481,0.00018885
ST-0.41M,Set-Aware,315138,58,0.00284688,0.00272556
ST-0.41M,Our method,316163,58,0.00019882,0.00013661
ST-0.41M,Set-Aware,315138,59,0.00275877,0.00274767
ST-0.41M,Our method,316163,59,0.00014176,0.00009911
ST-0.41M,Set-Aware,315138,60,0.00273489,0.00279162
ST-0.41M,Our method,316163,60,0.00010054,0.00009583
ST-2.67M,Set-Aware,2307074,1,0.12561482,1.61385787
ST-2.67M,Our method,2309123,1,1.14005113,0.04819791
ST-2.67M,Set-Aware,2307074,2,1.63040447,0.30007225
ST-2.67M,Our method,2309123,2,0.04428087,0.33754459
ST-2.67M,Set-Aware,2307074,3,0.30554321,0.37208956
ST-2.67M,Our method,2309123,3,0.33286959,0.00970817
ST-2.67M,Set-Aware,2307074,4,0.37063926,0.08668336
ST-2.67M,Our method,2309123,4,0.00999099,0.11422335
ST-2.67M,Set-Aware,2307074,5,0.09448207,0.18497363
ST-2.67M,Our method,2309123,5,0.11608012,0.05762221
ST-2.67M,Set-Aware,2307074,6,0.19077949,0.12350234
ST-2.67M,Our method,2309123,6,0.05875959,0.00250556
ST-2.67M,Set-Aware,2307074,7,0.13012925,0.05037482
ST-2.67M,Our method,2309123,7,0.00264382,0.04025785
ST-2.67M,Set-Aware,2307074,8,0.05415051,0.05726408
ST-2.67M,Our method,2309123,8,0.04071929,0.04434664
ST-2.67M,Set-Aware,2307074,9,0.05527999,0.07987843
ST-2.67M,Our method,2309123,9,0.04430306,0.02291304
ST-2.67M,Set-Aware,2307074,10,0.07374527,0.06580634
ST-2.67M,Our method,2309123,10,0.02268300,0.00348645
ST-2.67M,Set-Aware,2307074,11,0.06006804,0.03843685
ST-2.67M,Our method,2309123,11,0.00373507,0.01062351
ST-2.67M,Set-Aware,2307074,12,0.03528198,0.02820875
ST-2.67M,Our method,2309123,12,0.01095203,0.01694676
ST-2.67M,Set-Aware,2307074,13,0.02669549,0.02937563
ST-2.67M,Our method,2309123,13,0.01708696,0.01694721
ST-2.67M,Set-Aware,2307074,14,0.02896136,0.03167930
ST-2.67M,Our method,2309123,14,0.01668421,0.00944460
ST-2.67M,Set-Aware,2307074,15,0.03329728,0.03452054
ST-2.67M,Our method,2309123,15,0.00883412,0.00251197
ST-2.67M,Set-Aware,2307074,16,0.03798417,0.03166923
ST-2.67M,Our method,2309123,16,0.00224398,0.00266346
ST-2.67M,Set-Aware,2307074,17,0.03471023,0.02631396
ST-2.67M,Our method,2309123,17,0.00306468,0.00484602
ST-2.67M,Set-Aware,2307074,18,0.02752001,0.02525963
ST-2.67M,Our method,2309123,18,0.00552951,0.00739698
ST-2.67M,Set-Aware,2307074,19,0.02513132,0.02388224
ST-2.67M,Our method,2309123,19,0.00781439,0.00763563
ST-2.67M,Set-Aware,2307074,20,0.02324045,0.02302646
ST-2.67M,Our method,2309123,20,0.00778967,0.00362234
ST-2.67M,Set-Aware,2307074,21,0.02185731,0.02573005
ST-2.67M,Our method,2309123,21,0.00376544,0.00153306
ST-2.67M,Set-Aware,2307074,22,0.02383574,0.02785408
ST-2.67M,Our method,2309123,22,0.00159049,0.00116031
ST-2.67M,Set-Aware,2307074,23,0.02551779,0.02701988
ST-2.67M,Our method,2309123,23,0.00114107,0.00143277
ST-2.67M,Set-Aware,2307074,24,0.02467332,0.02554462
ST-2.67M,Our method,2309123,24,0.00147424,0.00328841
ST-2.67M,Set-Aware,2307074,25,0.02347169,0.02410542
ST-2.67M,Our method,2309123,25,0.00338721,0.00361397
ST-2.67M,Set-Aware,2307074,26,0.02252398,0.02176693
ST-2.67M,Our method,2309123,26,0.00375028,0.00231366
ST-2.67M,Set-Aware,2307074,27,0.02085012,0.01959065
ST-2.67M,Our method,2309123,27,0.00243447,0.00160764
ST-2.67M,Set-Aware,2307074,28,0.01935915,0.01917883
ST-2.67M,Our method,2309123,28,0.00161957,0.00076265
ST-2.67M,Set-Aware,2307074,29,0.01949650,0.01949210
ST-2.67M,Our method,2309123,29,0.00070463,0.00056601
ST-2.67M,Set-Aware,2307074,30,0.02018343,0.01916760
ST-2.67M,Our method,2309123,30,0.00050713,0.00148740
ST-2.67M,Set-Aware,2307074,31,0.01999401,0.01899209
ST-2.67M,Our method,2309123,31,0.00142873,0.00175248
ST-2.67M,Set-Aware,2307074,32,0.01961484,0.01918183
ST-2.67M,Our method,2309123,32,0.00171900,0.00163107
ST-2.67M,Set-Aware,2307074,33,0.01946406,0.01898154
ST-2.67M,Our method,2309123,33,0.00162341,0.00127762
ST-2.67M,Set-Aware,2307074,34,0.01913370,0.01861764
ST-2.67M,Our method,2309123,34,0.00126896,0.00046859
ST-2.67M,Set-Aware,2307074,35,0.01881330,0.01845741
ST-2.67M,Our method,2309123,35,0.00047723,0.00032475
ST-2.67M,Set-Aware,2307074,36,0.01857136,0.01821780
ST-2.67M,Our method,2309123,36,0.00035148,0.00056027
ST-2.67M,Set-Aware,2307074,37,0.01806169,0.01791666
ST-2.67M,Our method,2309123,37,0.00058060,0.00068193
ST-2.67M,Set-Aware,2307074,38,0.01749801,0.01795971
ST-2.67M,Our method,2309123,38,0.00069909,0.00089406
ST-2.67M,Set-Aware,2307074,39,0.01743948,0.01823396
ST-2.67M,Our method,2309123,39,0.00090967,0.00064716
ST-2.67M,Set-Aware,2307074,40,0.01775360,0.01830032
ST-2.67M,Our method,2309123,40,0.00065787,0.00030889
ST-2.67M,Set-Aware,2307074,41,0.01789022,0.01815708
ST-2.67M,Our method,2309123,41,0.00031605,0.00026668
ST-2.67M,Set-Aware,2307074,42,0.01777920,0.01794347
ST-2.67M,Our method,2309123,42,0.00025993,0.00020571
ST-2.67M,Set-Aware,2307074,43,0.01758523,0.01756047
ST-2.67M,Our method,2309123,43,0.00018036,0.00039262
ST-2.67M,Set-Aware,2307074,44,0.01724724,0.01714829
ST-2.67M,Our method,2309123,44,0.00036145,0.00052189
ST-2.67M,Set-Aware,2307074,45,0.01687648,0.01701962
ST-2.67M,Our method,2309123,45,0.00049827,0.00037504
ST-2.67M,Set-Aware,2307074,46,0.01675137,0.01704431
ST-2.67M,Our method,2309123,46,0.00036484,0.00027325
ST-2.67M,Set-Aware,2307074,47,0.01678215,0.01695465
ST-2.67M,Our method,2309123,47,0.00027604,0.00010725
ST-2.67M,Set-Aware,2307074,48,0.01675915,0.01682820
ST-2.67M,Our method,2309123,48,0.00011237,0.00009187
ST-2.67M,Set-Aware,2307074,49,0.01674052,0.01672968
ST-2.67M,Our method,2309123,49,0.00008593,0.00023353
ST-2.67M,Set-Aware,2307074,50,0.01671689,0.01656582
ST-2.67M,Our method,2309123,50,0.00021819,0.00026565
ST-2.67M,Set-Aware,2307074,51,0.01656273,0.01640559
ST-2.67M,Our method,2309123,51,0.00024831,0.00027691
ST-2.67M,Set-Aware,2307074,52,0.01638306,0.01631233
ST-2.67M,Our method,2309123,52,0.00026182,0.00016069
ST-2.67M,Set-Aware,2307074,53,0.01628575,0.01621441
ST-2.67M,Our method,2309123,53,0.00015285,0.00005064
ST-2.67M,Set-Aware,2307074,54,0.01620208,0.01615741
ST-2.67M,Our method,2309123,54,0.00004732,0.00006180
ST-2.67M,Set-Aware,2307074,55,0.01615372,0.01618214
ST-2.67M,Our method,2309123,55,0.00005907,0.00007726
ST-2.67M,Set-Aware,2307074,56,0.01617204,0.01616623
ST-2.67M,Our method,2309123,56,0.00007396,0.00015319
ST-2.67M,Set-Aware,2307074,57,0.01614407,0.01607457
ST-2.67M,Our method,2309123,57,0.00014605,0.00015219
ST-2.67M,Set-Aware,2307074,58,0.01603937,0.01598197
ST-2.67M,Our method,2309123,58,0.00014483,0.00009562
ST-2.67M,Set-Aware,2307074,59,0.01593100,0.01588457
ST-2.67M,Our method,2309123,59,0.00009142,0.00005824
